SUBJECT,VERB,OBJECT,typicality,mean_rat,std_rat
binman,pick,flower,AT,3.05,1.72
child,visit,president,AT,3.05,2.29
cobbler,fix,phone,AT,1.55,0.86
child,cross,river,AT,3.5,1.63
horse,draw,trailer,AT,2.7,2.41
dealer,examine,plant,AT,2.35,1.65
child,enjoy,lecture,AT,2.85,1.39
lumberjack,cut,meat,AT,3.3,2.08
waiter,clear,tube,AT,2.6,2.08
cook,mix,paint,AT,1.9,1.18
cook,check,tire,AT,1.9,1.04
porter,stack,wood,AT,4,2.39
singer,begin,race,AT,3.4,2.42
painter,complete,race,AT,2,0.89
fisherman,sell,drug,AT,1.55,0.92
cyclist,fix,hair,AT,2.5,1.63
singer,start,videogame,AT,3.2,2.2
photographer,prepare,food,AT,2.7,1.58
demonstrator,carry,ball,AT,3.45,1.86
hound,fetch,money,AT,2.85,2.46
mason,build,snowman,AT,2.3,1.31
waiter,fetch,ball,AT,1.85,1.06
cat,drink,coffee,AT,1.45,0.8
surfer,ride,camel,AT,1.45,0.8
musician,touch,base,AT,3.95,2.04
guide,describe,software,AT,3.8,2.06
singer,perform,trick,AT,2,1.7
soldier,reach,supermarket,AT,3,1.67
astronaut,touch,guitar,AT,2,1.14
child,open,congress,AT,1.5,0.67
child,throw,bottle,AT,4.2,1.72
soldier,gather,ball,AT,1.75,1.13
surfer,grab,frisbee,AT,3.45,1.83
speleologist,examine,book,AT,3.65,2.41
climber,face,ocean,AT,2.35,1.15
cowboy,ride,bike,AT,3.25,2.3
farmer,pick,killer,AT,1.55,0.74
child,lend,car,AT,1.45,1.32
policeman,put,cake,AT,1.8,0.98
manager,rent,kayak,AT,2.75,1.7
employee,pass,rifle,AT,1.8,0.87
chemist,pour,juice,AT,2.75,1.44
traveller,hand,screwdriver,AT,2.1,1.18
scientist,report,marriage,AT,1.65,1.01
vandal,spray,perfume,AT,1.85,0.85
librarian,put,burglar,AT,1.25,0.54
reporter,bring,cake,AT,1.85,0.96
general,send,postcard,AT,3.2,1.4
president,promise,bicycle,AT,2.25,1.76
programmer,load,ammunition,AT,1.75,1.22
waiter,pour,gasoline,AT,1.4,0.8
student,send,bomb,AT,1.2,0.51
journalist,carry,milk,AT,1.6,0.8
blacksmith,pour,wine,AT,1.6,0.73
pusher,sell,chocolate,AT,3,1.45
soldier,throw,ball,AT,2.3,1.55
professor,teach,karate,AT,3.25,1.7
mechanic,spread,chocolate,AT,1.65,1.01
teacher,give,drug,AT,1.4,0.58
president,give,book,AT,3.75,1.73
demonstrator,throw,frisbee,AT,2.05,1.4
jeweller,put,meat,AT,1.8,0.98
diplomat,carry,dog,AT,3,1.18
billionaire,donate,book,AT,4.15,1.85
nurse,hand,hose,AT,2.35,1.35
chauffeur,carry,rifle,AT,2.1,1.26
volunteer,bring,hatchet,AT,1.75,0.77
grandfather,tell,strategy,AT,4.15,1.35
confectioner,spread,cement,AT,1.2,0.4
sergeant,assign,homework,AT,2.3,1.65
doctor,offer,breakfast,AT,2.15,1.39
hostess,explain,poem,AT,1.75,0.99
farmer,spray,cream,AT,2.15,1.31
priest,teach,chemistry,AT,1.85,1.28
beautician,spread,paint,AT,2.9,1.51
bartender,hand,lancet,AT,1.4,0.58
witness,report,birth,AT,2.4,1.28
collector,donate,blood,AT,3.4,1.69
porter,load,file,AT,2.8,1.17
child,throw,spear,AT,1.6,0.58
spy,pass,frisbee,AT,1.55,0.86
dealer,sell,meat,AT,3.9,2.07
patient,report,crime,AT,2.25,1.18
professor,donate,organ,AT,2.35,1.42
footballer,pass,knife,AT,1.55,0.67
boss,promise,heaven,AT,2.25,1.73
waiter,bring,guitar,AT,1.55,0.97
government,offer,drink,AT,1.5,0.81
witness,explain,equation,AT,1.8,1.03
anchorman,tell,parable,AT,3,1.41
boss,assign,medal,AT,3,1.76
farmer,sell,drug,AT,1.45,0.67
parent,give,gun,AT,1.85,1.01
mechanic,rent,boat,AT,2.35,1.39
hairstylist,spray,pesticide,AT,1.25,0.43
child,tell,verdict,AT,2.05,1.07
crew,load,stroller,AT,3.4,1.71
teacher,lend,gun,AT,1.85,1.35
bank,assign,book,AT,2.1,1.3
employer,offer,candy,AT,2.85,1.42
priest,promise,promotion,AT,2.2,1.25
investor,rent,bicycle,AT,2.35,1.49
salesperson,send,gun,AT,2.3,1.76
sculptor,teach,skydiving,AT,1.15,0.36
usurer,lend,toy,AT,1.9,1.58
teacher,explain,tactic,AT,4.55,2.01
student,pass,river,AT,2.95,1.63
engineer,draw,flower,AT,2.1,1.14
pupil,draw,turbine,AT,2.95,1.63
veterinarian,examine,epigraph,AT,1.55,0.8
child,write,diagnosis,AT,1.05,0.22
archeologist,examine,dog,AT,1.6,0.92
doctor,write,conjugation,AT,3.05,1.47
