,ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
358,90,passive,plausible,The lad was instructed by the governess.,The governess instructed the lad.,AAN
359,90,passive,implausible,The governess was instructed by the lad.,The governess instructed the lad.,AAN
360,91,active,plausible,The blackmailer threatened the senator.,The blackmailer threatened the senator.,AAN
361,91,active,implausible,The senator threatened the blackmailer.,The blackmailer threatened the senator.,AAN
362,91,passive,plausible,The senator was threatened by the blackmailer.,The blackmailer threatened the senator.,AAN
363,91,passive,implausible,The blackmailer was threatened by the senator.,The blackmailer threatened the senator.,AAN
364,92,active,plausible,The extortionist menaced the legislator.,The extortionist menaced the legislator.,AAN
365,92,active,implausible,The legislator menaced the extortionist.,The extortionist menaced the legislator.,AAN
366,92,passive,plausible,The legislator was menaced by the extortionist.,The extortionist menaced the legislator.,AAN
367,92,passive,implausible,The extortionist was menaced by the legislator.,The extortionist menaced the legislator.,AAN
368,93,active,plausible,The artist portrayed the philosopher.,The artist portrayed the philosopher.,AAN
369,93,active,implausible,The philosopher portrayed the artist.,The artist portrayed the philosopher.,AAN
370,93,passive,plausible,The philosopher was portrayed by the artist.,The artist portrayed the philosopher.,AAN
371,93,passive,implausible,The artist was portrayed by the philosopher.,The artist portrayed the philosopher.,AAN
372,94,active,plausible,The painter depicted the thinker.,The painter depicted the thinker.,AAN
373,94,active,implausible,The thinker depicted the painter.,The painter depicted the thinker.,AAN
374,94,passive,plausible,The thinker was depicted by the painter.,The painter depicted the thinker.,AAN
375,94,passive,implausible,The painter was depicted by the thinker.,The painter depicted the thinker.,AAN
376,95,active,plausible,The mechanic berated the intern.,The mechanic berated the intern.,AAN
377,95,active,implausible,The intern berated the mechanic.,The mechanic berated the intern.,AAN
378,95,passive,plausible,The intern was berated by the mechanic.,The mechanic berated the intern.,AAN
379,95,passive,implausible,The mechanic was berated by the intern.,The mechanic berated the intern.,AAN
380,96,active,plausible,The technician rebuked the aide.,The technician rebuked the aide.,AAN
381,96,active,implausible,The aide rebuked the technician.,The technician rebuked the aide.,AAN
382,96,passive,plausible,The aide was rebuked by the technician.,The technician rebuked the aide.,AAN
383,96,passive,implausible,The technician was rebuked by the aide.,The technician rebuked the aide.,AAN
384,97,active,plausible,The fairy enchanted the troll.,The fairy enchanted the troll.,AAN
385,97,active,implausible,The troll enchanted the fairy.,The fairy enchanted the troll.,AAN
386,97,passive,plausible,The troll was enchanted by the fairy.,The fairy enchanted the troll.,AAN
387,97,passive,implausible,The fairy was enchanted by the troll.,The fairy enchanted the troll.,AAN
388,98,active,plausible,The pixie mesmerized the ogre.,The pixie mesmerized the ogre.,AAN
389,98,active,implausible,The ogre mesmerized the pixie.,The pixie mesmerized the ogre.,AAN
390,98,passive,plausible,The ogre was mesmerized by the pixie.,The pixie mesmerized the ogre.,AAN
391,98,passive,implausible,The pixie was mesmerized by the ogre.,The pixie mesmerized the ogre.,AAN
392,99,active,plausible,The orderly assisted the dentist.,The orderly assisted the dentist.,AAN
393,99,active,implausible,The dentist assisted the orderly.,The orderly assisted the dentist.,AAN
394,99,passive,plausible,The dentist was assisted by the orderly.,The orderly assisted the dentist.,AAN
395,99,passive,implausible,The orderly was assisted by the dentist.,The orderly assisted the dentist.,AAN
396,100,active,plausible,The nurse helped the orthodontist.,The nurse helped the orthodontist.,AAN
397,100,active,implausible,The orthodontist helped the nurse.,The nurse helped the orthodontist.,AAN
398,100,passive,plausible,The orthodontist was helped by the nurse.,The nurse helped the orthodontist.,AAN
399,100,passive,implausible,The nurse was helped by the orthodontist.,The nurse helped the orthodontist.,AAN
400,101,active,plausible,The owner evicted the tenant.,The owner evicted the tenant.,AAN
401,101,active,implausible,The tenant evicted the owner.,The owner evicted the tenant.,AAN
402,101,passive,plausible,The tenant was evicted by the owner.,The owner evicted the tenant.,AAN
403,101,passive,implausible,The owner was evicted by the tenant.,The owner evicted the tenant.,AAN
404,102,active,plausible,The proprietor dislodged the renter.,The proprietor kicked out the renter.,AAN
405,102,active,implausible,The renter dislodged the proprietor.,The proprietor kicked out the renter.,AAN
406,102,passive,plausible,The renter was dislodged by the proprietor.,The proprietor kicked out the renter.,AAN
407,102,passive,implausible,The proprietor was dislodged by the renter.,The proprietor kicked out the renter.,AAN
408,103,active,plausible,The critic attacked the conservative.,The critic attacked the conservative.,AAN
409,103,active,implausible,The conservative attacked the critic.,The critic attacked the conservative.,AAN
410,103,passive,plausible,The conservative was attacked by the critic.,The critic attacked the conservative.,AAN
411,103,passive,implausible,The critic was attacked by the conservative.,The critic attacked the conservative.,AAN
412,104,active,plausible,The reviewer criticized the right-winger.,The reviewer criticized the right-winger.,AAN
413,104,active,implausible,The right-winger criticized the reviewer.,The reviewer criticized the right-winger.,AAN
414,104,passive,plausible,The right-winger was criticized by the reviewer.,The reviewer criticized the right-winger.,AAN
415,104,passive,implausible,The reviewer was criticized by the right-winger.,The reviewer criticized the right-winger.,AAN
416,105,active,plausible,The admirer badgered the director.,The admirer badgered the director.,AAN
417,105,active,implausible,The director badgered the admirer.,The admirer badgered the director.,AAN
418,105,passive,plausible,The director was badgered by the admirer.,The admirer badgered the director.,AAN
419,105,passive,implausible,The admirer was badgered by the director.,The admirer badgered the director.,AAN
420,106,active,plausible,The fan pestered the filmmaker.,The fan pestered the filmmaker.,AAN
421,106,active,implausible,The filmmaker pestered the fan.,The fan pestered the filmmaker.,AAN
422,106,passive,plausible,The filmmaker was pestered by the fan.,The fan pestered the filmmaker.,AAN
423,106,passive,implausible,The fan was pestered by the filmmaker.,The fan pestered the filmmaker.,AAN
424,107,active,plausible,The paramedic revived the youth.,The paramedic revived the youth.,AAN
425,107,active,implausible,The youth revived the paramedic.,The paramedic revived the youth.,AAN
426,107,passive,plausible,The youth was revived by the paramedic.,The paramedic revived the youth.,AAN
427,107,passive,implausible,The paramedic was revived by the youth.,The paramedic revived the youth.,AAN
428,108,active,plausible,The EMT resuscitated the youngster.,The EMT resuscitated the youngster.,AAN
429,108,active,implausible,The youngster resuscitated the EMT.,The EMT resuscitated the youngster.,AAN
430,108,passive,plausible,The youngster was resuscitated by the EMT.,The EMT resuscitated the youngster.,AAN
431,108,passive,implausible,The EMT was resuscitated by the youngster.,The EMT resuscitated the youngster.,AAN
432,109,active,plausible,The prankster duped the marketer.,The prankster duped the marketer.,AAN
433,109,active,implausible,The marketer duped the prankster.,The prankster duped the marketer.,AAN
434,109,passive,plausible,The marketer was duped by the prankster.,The prankster duped the marketer.,AAN
435,109,passive,implausible,The prankster was duped by the marketer.,The prankster duped the marketer.,AAN
436,110,active,plausible,The joker tricked the distributor.,The joker tricked the distributor.,AAN
437,110,active,implausible,The distributor tricked the joker.,The joker tricked the distributor.,AAN
438,110,passive,plausible,The distributor was tricked by the joker.,The joker tricked the distributor.,AAN
439,110,passive,implausible,The joker was tricked by the distributor.,The joker tricked the distributor.,AAN
440,111,active,plausible,The playboy courted the damsel.,The playboy courted the damsel.,AAN
441,111,active,implausible,The damsel courted the playboy.,The playboy courted the damsel.,AAN
442,111,passive,plausible,The damsel was courted by the playboy.,The playboy courted the damsel.,AAN
443,111,passive,implausible,The playboy was courted by the damsel.,The playboy courted the damsel.,AAN
444,112,active,plausible,The womanizer wooed the maiden.,The womanizer wooed the maiden.,AAN
445,112,active,implausible,The maiden wooed the womanizer.,The womanizer wooed the maiden.,AAN
446,112,passive,plausible,The maiden was wooed by the womanizer.,The womanizer wooed the maiden.,AAN
447,112,passive,implausible,The womanizer was wooed by the maiden.,The womanizer wooed the maiden.,AAN
448,113,active,plausible,The nomad cherished the clergyman.,The nomad cherished the clergyman.,AAN
449,113,active,implausible,The clergyman cherished the nomad.,The nomad cherished the clergyman.,AAN
450,113,passive,plausible,The clergyman was cherished by the nomad.,The nomad cherished the clergyman.,AAN
451,113,passive,implausible,The nomad was cherished by the clergyman.,The nomad cherished the clergyman.,AAN
452,114,active,plausible,The vagabond revered the priest.,The vagabond revered the priest.,AAN
453,114,active,implausible,The priest revered the vagabond.,The vagabond revered the priest.,AAN
454,114,passive,plausible,The priest was revered by the vagabond.,The vagabond revered the priest.,AAN
455,114,passive,implausible,The vagabond was revered by the priest.,The vagabond revered the priest.,AAN
456,115,active,plausible,The assassin shot the statesman.,The assassin shot the statesman.,AAN
457,115,active,implausible,The statesman shot the assassin.,The assassin shot the statesman.,AAN
458,115,passive,plausible,The statesman was shot by the assassin.,The assassin shot the statesman.,AAN
459,115,passive,implausible,The assassin was shot by the statesman.,The assassin shot the statesman.,AAN
460,116,active,plausible,The hit man killed the politician.,The hit man killed the politician.,AAN
461,116,active,implausible,The politician killed the hit man.,The hit man killed the politician.,AAN
462,116,passive,plausible,The politician was killed by the hit man.,The hit man killed the politician.,AAN
463,116,passive,implausible,The hit man was killed by the politician.,The hit man killed the politician.,AAN
464,117,active,plausible,The clerk charged the elderly person.,The clerk charged the elderly person.,AAN
465,117,active,implausible,The elderly person charged the clerk.,The clerk charged the elderly person.,AAN
466,117,passive,plausible,The elderly person was charged by the clerk.,The clerk charged the elderly person.,AAN
467,117,passive,implausible,The clerk was charged by the elderly person.,The clerk charged the elderly person.,AAN
468,118,active,plausible,The cashier billed the senior citizen.,The cashier billed the senior citizen.,AAN
469,118,active,implausible,The senior citizen billed the cashier.,The cashier billed the senior citizen.,AAN
470,118,passive,plausible,The senior citizen was billed by the cashier.,The cashier billed the senior citizen.,AAN
471,118,passive,implausible,The cashier was billed by the senior citizen.,The cashier billed the senior citizen.,AAN
472,119,active,plausible,The mediator rescued the hostage.,The mediator rescued the hostage.,AAN
473,119,active,implausible,The hostage rescued the mediator.,The mediator rescued the hostage.,AAN
474,119,passive,plausible,The hostage was rescued by the mediator.,The mediator rescued the hostage.,AAN
475,119,passive,implausible,The mediator was rescued by the hostage.,The mediator rescued the hostage.,AAN
476,120,active,plausible,The negotiator saved the captive.,The negotiator saved the captive.,AAN
477,120,active,implausible,The captive saved the negotiator.,The negotiator saved the captive.,AAN
478,120,passive,plausible,The captive was saved by the negotiator.,The negotiator saved the captive.,AAN
479,120,passive,implausible,The negotiator was saved by the captive.,The negotiator saved the captive.,AAN
480,121,active,plausible,The detective found the assailant.,The detective found the assailant.,AAN
481,121,active,implausible,The assailant found the detective.,The detective found the assailant.,AAN
482,121,passive,plausible,The assailant was found by the detective.,The detective found the assailant.,AAN
483,121,passive,implausible,The detective was found by the assailant.,The detective found the assailant.,AAN
484,122,active,plausible,The sleuth located the attacker.,The sleuth located the attacker.,AAN
485,122,active,implausible,The attacker located the sleuth.,The sleuth located the attacker.,AAN
486,122,passive,plausible,The attacker was located by the sleuth.,The sleuth located the attacker.,AAN
487,122,passive,implausible,The sleuth was located by the attacker.,The sleuth located the attacker.,AAN
488,123,active,plausible,The artisan trained the apprentice.,The artisan trained the apprentice.,AAN
489,123,active,implausible,The apprentice trained the artisan.,The artisan trained the apprentice.,AAN
490,123,passive,plausible,The apprentice was trained by the artisan.,The artisan trained the apprentice.,AAN
491,123,passive,implausible,The artisan was trained by the apprentice.,The artisan trained the apprentice.,AAN
492,124,active,plausible,The craftsman taught the trainee.,The craftsman taught the trainee.,AAN
493,124,active,implausible,The trainee taught the craftsman.,The craftsman taught the trainee.,AAN
494,124,passive,plausible,The trainee was taught by the craftsman.,The craftsman taught the trainee.,AAN
495,124,passive,implausible,The craftsman was taught by the trainee.,The craftsman taught the trainee.,AAN
496,125,active,plausible,The biker defied the trainer.,The biker defied the trainer.,AAN
497,125,active,implausible,The trainer defied the biker.,The biker defied the trainer.,AAN
498,125,passive,plausible,The trainer was defied by the biker.,The biker defied the trainer.,AAN
499,125,passive,implausible,The biker was defied by the trainer.,The biker defied the trainer.,AAN
500,126,active,plausible,The cyclist disobeyed the coach.,The cyclist disobeyed the coach.,AAN
501,126,active,implausible,The coach disobeyed the cyclist.,The cyclist disobeyed the coach.,AAN
502,126,passive,plausible,The coach was disobeyed by the cyclist.,The cyclist disobeyed the coach.,AAN
503,126,passive,implausible,The cyclist was disobeyed by the coach.,The cyclist disobeyed the coach.,AAN
504,127,active,plausible,The speaker engrossed the audience.,The speaker engrossed the audience.,AAN
505,127,active,implausible,The audience engrossed the speaker.,The speaker engrossed the audience.,AAN
506,127,passive,plausible,The audience was engrossed by the speaker.,The speaker engrossed the audience.,AAN
507,127,passive,implausible,The speaker was engrossed by the audience.,The speaker engrossed the audience.,AAN
508,128,active,plausible,The orator captivated the spectators.,The orator captivated the spectators.,AAN
509,128,active,implausible,The spectators captivated the orator.,The orator captivated the spectators.,AAN
510,128,passive,plausible,The spectators were captivated by the orator.,The orator captivated the spectators.,AAN
511,128,passive,implausible,The orator were captivated by the spectators.,The orator captivated the spectators.,AAN
512,129,active,plausible,The genius shocked the cousin.,The genius shocked the cousin.,AAN
513,129,active,implausible,The cousin shocked the genius.,The genius shocked the cousin.,AAN
514,129,passive,plausible,The cousin was shocked by the genius.,The genius shocked the cousin.,AAN
515,129,passive,implausible,The genius was shocked by the cousin.,The genius shocked the cousin.,AAN
516,130,active,plausible,The prodigy surprised the relative.,The prodigy surprised the relative.,AAN
517,130,active,implausible,The relative surprised the prodigy.,The prodigy surprised the relative.,AAN
518,130,passive,plausible,The relative was surprised by the prodigy.,The prodigy surprised the relative.,AAN
519,130,passive,implausible,The prodigy was surprised by the relative.,The prodigy surprised the relative.,AAN
520,131,active,plausible,The smuggler bribed the bureaucrat.,The smuggler bribed the bureaucrat.,AAN
521,131,active,implausible,The bureaucrat bribed the smuggler.,The smuggler bribed the bureaucrat.,AAN
522,131,passive,plausible,The bureaucrat was bribed by the smuggler.,The smuggler bribed the bureaucrat.,AAN
523,131,passive,implausible,The smuggler was bribed by the bureaucrat.,The smuggler bribed the bureaucrat.,AAN
524,132,active,plausible,The amateur irked the maestro.,The amateur irked the maestro.,AAN
525,132,active,implausible,The maestro irked the amateur.,The amateur irked the maestro.,AAN
526,132,passive,plausible,The maestro was irked by the amateur.,The amateur irked the maestro.,AAN
527,132,passive,implausible,The amateur was irked by the maestro.,The amateur irked the maestro.,AAN
528,133,active,plausible,The novice irritated the virtuoso.,The novice irritated the virtuoso.,AAN
529,133,active,implausible,The virtuoso irritated the novice.,The novice irritated the virtuoso.,AAN
530,133,passive,plausible,The virtuoso was irritated by the novice.,The novice irritated the virtuoso.,AAN
531,133,passive,implausible,The novice was irritated by the virtuoso.,The novice irritated the virtuoso.,AAN
532,134,active,plausible,The lawyer questioned the witness.,The lawyer questioned the witness.,AAN
533,134,active,implausible,The witness questioned the lawyer.,The lawyer questioned the witness.,AAN
534,134,passive,plausible,The witness was questioned by the lawyer.,The lawyer questioned the witness.,AAN
535,134,passive,implausible,The lawyer was questioned by the witness.,The lawyer questioned the witness.,AAN
536,135,active,plausible,The attorney interrogated the bystander.,The attorney interrogated the bystander.,AAN
537,135,active,implausible,The bystander interrogated the attorney.,The attorney interrogated the bystander.,AAN
538,135,passive,plausible,The bystander was interrogated by the attorney.,The attorney interrogated the bystander.,AAN
539,135,passive,implausible,The attorney was interrogated by the bystander.,The attorney interrogated the bystander.,AAN
540,136,active,plausible,The singer disappointed the enthusiast.,The singer disappointed the enthusiast.,AAN
541,136,active,implausible,The enthusiast disappointed the singer.,The singer disappointed the enthusiast.,AAN
542,136,passive,plausible,The enthusiast was disappointed by the singer.,The singer disappointed the enthusiast.,AAN
543,136,passive,implausible,The singer was disappointed by the enthusiast.,The singer disappointed the enthusiast.,AAN
544,137,active,plausible,The vocalist disillusioned the connoisseur.,The vocalist disillusioned the connoisseur.,AAN
545,137,active,implausible,The connoisseur disillusioned the vocalist.,The vocalist disillusioned the connoisseur.,AAN
546,137,passive,plausible,The connoisseur was disillusioned by the vocalist.,The vocalist disillusioned the connoisseur.,AAN
547,137,passive,implausible,The vocalist was disillusioned by the connoisseur.,The vocalist disillusioned the connoisseur.,AAN
548,138,active,plausible,The chauffeur drove the diplomat.,The chauffeur drove the diplomat.,AAN
549,138,active,implausible,The diplomat drove the chauffeur.,The chauffeur drove the diplomat.,AAN
550,138,passive,plausible,The diplomat was driven by the chauffeur.,The chauffeur drove the diplomat.,AAN
551,138,passive,implausible,The chauffeur was driven by the diplomat.,The chauffeur drove the diplomat.,AAN
552,139,active,plausible,The driver transported the ambassador.,The driver transported the ambassador.,AAN
553,139,active,implausible,The ambassador transported the driver.,The driver transported the ambassador.,AAN
554,139,passive,plausible,The ambassador was transported by the driver.,The driver transported the ambassador.,AAN
555,139,passive,implausible,The driver was transported by the ambassador.,The driver transported the ambassador.,AAN
556,140,active,plausible,The guard apprehended the prisoner.,The guard apprehended the prisoner.,AAN
557,140,active,implausible,The prisoner apprehended the guard.,The guard apprehended the prisoner.,AAN
558,140,passive,plausible,The prisoner was apprehended by the guard.,The guard apprehended the prisoner.,AAN
559,140,passive,implausible,The guard was apprehended by the prisoner.,The guard apprehended the prisoner.,AAN
560,141,active,plausible,The warden caught the inmate.,The warden caught the inmate.,AAN
561,141,active,implausible,The inmate caught the warden.,The warden caught the inmate.,AAN
562,141,passive,plausible,The inmate was caught by the warden.,The warden caught the inmate.,AAN
563,141,passive,implausible,The warden was caught by the inmate.,The warden caught the inmate.,AAN
564,142,active,plausible,The tailor costumed the dancer.,The tailor costumed the dancer.,AAN
565,142,active,implausible,The dancer costumed the tailor.,The tailor costumed the dancer.,AAN
566,142,passive,plausible,The dancer was costumed by the tailor.,The tailor costumed the dancer.,AAN
567,142,passive,implausible,The tailor was costumed by the dancer.,The tailor costumed the dancer.,AAN
568,143,active,plausible,The dressmaker attired the ballerina.,The dressmaker attired the ballerina.,AAN
569,143,active,implausible,The ballerina attired the dressmaker.,The dressmaker attired the ballerina.,AAN
570,143,passive,plausible,The ballerina was attired by the dressmaker.,The dressmaker attired the ballerina.,AAN
571,143,passive,implausible,The dressmaker was attired by the ballerina.,The dressmaker attired the ballerina.,AAN
572,144,active,plausible,The principal scolded the child.,The principal scolded the child.,AAN
573,144,active,implausible,The child scolded the principal.,The principal scolded the child.,AAN
574,144,passive,plausible,The child was scolded by the principal.,The principal scolded the child.,AAN
575,144,passive,implausible,The principal was scolded by the child.,The principal scolded the child.,AAN
576,145,active,plausible,The headmaster reprimanded the kid.,The headmaster reprimanded the kid.,AAN
577,145,active,implausible,The kid reprimanded the headmaster.,The headmaster reprimanded the kid.,AAN
578,145,passive,plausible,The kid was reprimanded by the headmaster.,The headmaster reprimanded the kid.,AAN
579,145,passive,implausible,The headmaster was reprimanded by the kid.,The headmaster reprimanded the kid.,AAN
580,146,active,plausible,The lord named the heir.,The lord named the heir.,AAN
581,146,active,implausible,The heir named the lord.,The lord named the heir.,AAN
582,146,passive,plausible,The heir was named by the lord.,The lord named the heir.,AAN
583,146,passive,implausible,The lord was named by the heir.,The lord named the heir.,AAN
584,147,active,plausible,The baron chose the successor.,The baron chose the successor.,AAN
585,147,active,implausible,The successor chose the baron.,The baron chose the successor.,AAN
586,147,passive,plausible,The successor was chosen by the baron.,The baron chose the successor.,AAN
587,147,passive,implausible,The baron was chosen by the successor.,The baron chose the successor.,AAN
588,148,active,plausible,The cop restrained the rioter.,The cop restrained the rioter.,AAN
589,148,active,implausible,The rioter restrained the cop.,The cop restrained the rioter.,AAN
590,148,passive,plausible,The rioter was restrained by the cop.,The cop restrained the rioter.,AAN
591,148,passive,implausible,The cop was restrained by the rioter.,The cop restrained the rioter.,AAN
592,149,active,plausible,The policeman subdued the rabble-rouser.,The policeman subdued the rabble-rouser.,AAN
593,149,active,implausible,The rabble-rouser subdued the policeman.,The policeman subdued the rabble-rouser.,AAN
594,149,passive,plausible,The rabble-rouser was subdued by the policeman.,The policeman subdued the rabble-rouser.,AAN
595,149,passive,implausible,The policeman was subdued by the rabble-rouser.,The policeman subdued the rabble-rouser.,AAN
596,150,active,plausible,The dad coddled the baby.,The dad coddled the baby.,AAN
597,150,active,implausible,The baby coddled the dad.,The dad coddled the baby.,AAN
598,150,passive,plausible,The baby was coddled by the dad.,The dad coddled the baby.,AAN
599,150,passive,implausible,The dad was coddled by the baby.,The dad coddled the baby.,AAN
600,151,active,plausible,The father pampered the infant.,The father pampered the infant.,AAN
601,151,active,implausible,The infant pampered the father.,The father pampered the infant.,AAN
602,151,passive,plausible,The infant was pampered by the father.,The father pampered the infant.,AAN
603,151,passive,implausible,The father was pampered by the infant.,The father pampered the infant.,AAN
604,152,active,plausible,The king exiled the rebel.,The king exiled the rebel.,AAN
605,152,active,implausible,The rebel exiled the king.,The king exiled the rebel.,AAN
606,152,passive,plausible,The rebel was exiled by the king.,The king exiled the rebel.,AAN
607,152,passive,implausible,The king was exiled by the rebel.,The king exiled the rebel.,AAN
608,153,active,plausible,The monarch banished the insurgent.,The monarch banished the insurgent.,AAN
609,153,active,implausible,The insurgent banished the monarch.,The monarch banished the insurgent.,AAN
610,153,passive,plausible,The insurgent was banished by the monarch.,The monarch banished the insurgent.,AAN
611,153,passive,implausible,The monarch was banished by the insurgent.,The monarch banished the insurgent.,AAN
612,154,active,plausible,The thief robbed the manufacturer.,The thief robbed the manufacturer.,AAN
613,154,active,implausible,The manufacturer robbed the thief.,The thief robbed the manufacturer.,AAN
614,154,passive,plausible,The manufacturer was robbed by the thief.,The thief robbed the manufacturer.,AAN
615,154,passive,implausible,The thief was robbed by the manufacturer.,The thief robbed the manufacturer.,AAN
616,155,active,plausible,The robber burgled the industrialist.,The robber burgled the industrialist.,AAN
617,155,active,implausible,The industrialist burgled the robber.,The robber burgled the industrialist.,AAN
618,155,passive,plausible,The industrialist was burgled by the robber.,The robber burgled the industrialist.,AAN
619,155,passive,implausible,The robber was burgled by the industrialist.,The robber burgled the industrialist.,AAN
620,156,active,plausible,The pessimist discouraged the contestant.,The pessimist discouraged the contestant.,AAN
621,156,active,implausible,The contestant discouraged the pessimist.,The pessimist discouraged the contestant.,AAN
622,156,passive,plausible,The contestant was discouraged by the pessimist.,The pessimist discouraged the contestant.,AAN
623,156,passive,implausible,The pessimist was discouraged by the contestant.,The pessimist discouraged the contestant.,AAN
624,157,active,plausible,The cynic dissuaded the participant.,The cynic dissuaded the participant.,AAN
625,157,active,implausible,The participant dissuaded the cynic.,The cynic dissuaded the participant.,AAN
626,157,passive,plausible,The participant was dissuaded by the cynic.,The cynic dissuaded the participant.,AAN
627,157,passive,implausible,The cynic was dissuaded by the participant.,The cynic dissuaded the participant.,AAN
628,158,active,plausible,The loudmouth tormented the loner.,The loudmouth tormented the loner.,AAN
629,158,active,implausible,The loner tormented the loudmouth.,The loudmouth tormented the loner.,AAN
630,158,passive,plausible,The loner was tormented by the loudmouth.,The loudmouth tormented the loner.,AAN
631,158,passive,implausible,The loudmouth was tormented by the loner.,The loudmouth tormented the loner.,AAN
632,159,active,plausible,The windbag taunted the recluse.,The windbag taunted the recluse.,AAN
633,159,active,implausible,The recluse taunted the windbag.,The windbag taunted the recluse.,AAN
634,159,passive,plausible,The recluse was taunted by the windbag.,The windbag taunted the recluse.,AAN
635,159,passive,implausible,The windbag was taunted by the recluse.,The windbag taunted the recluse.,AAN
636,160,active,plausible,The imitator fooled the investigator.,The imitator fooled the investigator.,AAN
637,160,active,implausible,The investigator fooled the imitator.,The imitator fooled the investigator.,AAN
638,160,passive,plausible,The investigator was fooled by the imitator.,The imitator fooled the investigator.,AAN
639,160,passive,implausible,The imitator was fooled by the investigator.,The imitator fooled the investigator.,AAN
640,161,active,plausible,The impersonator conned the inspector.,The impersonator conned the inspector.,AAN
641,161,active,implausible,The inspector conned the impersonator.,The impersonator conned the inspector.,AAN
642,161,passive,plausible,The inspector was conned by the impersonator.,The impersonator conned the inspector.,AAN
643,161,passive,implausible,The impersonator was conned by the inspector.,The impersonator conned the inspector.,AAN
644,162,active,plausible,The boss fired the worker.,The boss fired the worker.,AAN
645,162,active,implausible,The worker fired the boss.,The boss fired the worker.,AAN
646,162,passive,plausible,The worker was fired by the boss.,The boss fired the worker.,AAN
647,162,passive,implausible,The boss was fired by the worker.,The boss fired the worker.,AAN
648,163,active,plausible,The pyromaniac unnerved the shopkeeper.,The pyromaniac unnerved the shopkeeper.,AAN
649,163,active,implausible,The shopkeeper unnerved the pyromaniac.,The pyromaniac unnerved the shopkeeper.,AAN
650,163,passive,plausible,The shopkeeper was unnerved by the pyromaniac.,The pyromaniac unnerved the shopkeeper.,AAN
651,163,passive,implausible,The pyromaniac was unnerved by the shopkeeper.,The pyromaniac unnerved the shopkeeper.,AAN
652,164,active,plausible,The arsonist alarmed the vendor.,The arsonist alarmed the vendor.,AAN
653,164,active,implausible,The vendor alarmed the arsonist.,The arsonist alarmed the vendor.,AAN
654,164,passive,plausible,The vendor was alarmed by the arsonist.,The arsonist alarmed the vendor.,AAN
655,164,passive,implausible,The arsonist was alarmed by the vendor.,The arsonist alarmed the vendor.,AAN
656,165,active,plausible,The professional supported the beginner.,The professional supported the beginner.,AAN
657,165,active,implausible,The beginner supported the professional.,The professional supported the beginner.,AAN
658,165,passive,plausible,The beginner was supported by the professional.,The professional supported the beginner.,AAN
659,165,passive,implausible,The professional was supported by the beginner.,The professional supported the beginner.,AAN
660,166,active,plausible,The master encouraged the rookie.,The master encouraged the rookie.,AAN
661,166,active,implausible,The rookie encouraged the master.,The master encouraged the rookie.,AAN
662,166,passive,plausible,The rookie was encouraged by the master.,The master encouraged the rookie.,AAN
663,166,passive,implausible,The master was encouraged by the rookie.,The master encouraged the rookie.,AAN
664,167,active,plausible,The magician hypnotized the crowd.,The magician hypnotized the crowd.,AAN
665,167,active,implausible,The crowd hypnotized the magician.,The magician hypnotized the crowd.,AAN
666,167,passive,plausible,The crowd was hypnotized by the magician.,The magician hypnotized the crowd.,AAN
667,167,passive,implausible,The magician was hypnotized by the crowd.,The magician hypnotized the crowd.,AAN
668,168,active,plausible,The illusionist entranced the viewers.,The illusionist entranced the viewers.,AAN
669,168,active,implausible,The viewers entranced the illusionist.,The illusionist entranced the viewers.,AAN
670,168,passive,plausible,The viewers were entranced by the illusionist.,The illusionist entranced the viewers.,AAN
671,168,passive,implausible,The illusionist were entranced by the viewers.,The illusionist entranced the viewers.,AAN
672,169,active,plausible,The businessman employed the expert.,The businessman employed the expert.,AAN
673,169,active,implausible,The expert employed the businessman.,The businessman employed the expert.,AAN
674,169,passive,plausible,The expert was employed by the businessman.,The businessman employed the expert.,AAN
675,169,passive,implausible,The businessman was employed by the expert.,The businessman employed the expert.,AAN
676,170,active,plausible,The entrepreneur hired the specialist.,The entrepreneur hired the specialist.,AAN
677,170,active,implausible,The specialist hired the entrepreneur.,The entrepreneur hired the specialist.,AAN
678,170,passive,plausible,The specialist was hired by the entrepreneur.,The entrepreneur hired the specialist.,AAN
679,170,passive,implausible,The entrepreneur was hired by the specialist.,The entrepreneur hired the specialist.,AAN
680,171,active,plausible,The terrorist petrified the first lady.,The terrorist petrified the first lady.,AAN
681,171,active,implausible,The first lady petrified the terrorist.,The terrorist petrified the first lady.,AAN
682,171,passive,plausible,The first lady was petrified by the terrorist.,The terrorist petrified the first lady.,AAN
683,171,passive,implausible,The terrorist was petrified by the first lady.,The terrorist petrified the first lady.,AAN
684,172,active,plausible,The hijacker terrified the president's wife.,The hijacker terrified the president's wife.,AAN
685,172,active,implausible,The president's wife terrified the hijacker.,The hijacker terrified the president's wife.,AAN
686,172,passive,plausible,The president's wife was terrified by the hijacker.,The hijacker terrified the president's wife.,AAN
687,172,passive,implausible,The hijacker was terrified by the president's wife.,The hijacker terrified the president's wife.,AAN
688,173,active,plausible,The judge praised the gold medalist.,The judge praised the gold medalist.,AAN
689,173,active,implausible,The gold medalist praised the judge.,The judge praised the gold medalist.,AAN
690,173,passive,plausible,The gold medalist was praised by the judge.,The judge praised the gold medalist.,AAN
691,173,passive,implausible,The judge was praised by the gold medalist.,The judge praised the gold medalist.,AAN
