WorkerId,na.pct,n,implausible,plausible,diff,Answer.English,Answer.country,profcheck,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,filler.left,filler.right
A1VWP7HOSGKATD,0,54,4.25,5,0.75,yes,USA,,"When I was younger, I would go to school and college","It's raining tomorrow, so cannot come office",874,{},3MJ9GGZYO36STV7DW86S2V1P642A2R,6,1
A1W7I6FN183I8F,0,54,1.5,5.625,4.125,yes,USA,yes,"When I was younger, I would go to school and play sports with my friends at recess.","It's raining tomorrow, so make sure to bring an umbrella.",2024,"Some of theses sentences were entirely implausible, while others gave me pause as they could in fact occur in real life. In any case, thank you for the experience, and good luck in your research.",39AYGO6AFFKNVFK3SEN0EE21LG3N65,7,1
A1WJ54G7U8B57Y,0,54,4.75,6.625,1.875,yes,USA,yes,"When I was younger, I would go to school and learn new things with other pupils","It's raining tomorrow, so I have to carry my umbrella along",1750,Very good survey,3RWO3EJELH9SREVJ2NOBN7GFDKOP15,7,1
A1XQOZV8LQDM22,0,54,2.375,5.75,3.375,yes,USA,yes,"When I was younger, I would go to school and play with my friends","It's raining tomorrow, so I will be expecting your message very early.",2315,N/A,3MXX6RQ9EV59JDS2P57DL5NIP4YP4I,7,1
A1XUZFDVKP95VC,0,54,1.875,6.875,5,yes,USA,yes,play outside with my friends at recess,bring an umbrella with you,1087,{},3TC2K6WK9G2EA7EYZAME64VUGG282L,7,1
A1XVEKS9O73ERE,0,54,1.25,6.125,4.875,yes,USA,yes,"When I was younger, I would go to school and learn how to count.","It's raining tomorrow, so bring your umbrella.",552,thank you,3UEDKCTP9VQ5R9D5EB0CS0LTMPP7KC,7,1
A1YH2I4Y2SYAXJ,0.018518519,54,1,6.8,5.8,yes,USA,yes,"When I was younger, I would go to school and put my books in my locker before heading to first-period gym class.","It's raining tomorrow, so I'll grab my umbrella on the way out the door.",1746,thank you!,3P7RGTLO6EDNABB3LECW2RNJNXVAK6,7,1
A1YSYI926BBOHW,0,54,3.125,6.75,3.625,yes,USA,yes,"When I was younger, I would go to school and hang out with friends.","It's raining tomorrow, so i'll wear a hat when i go out.",2702,{},3KWGG5KP6J26TE84Q4L3NZ5BCC4CMM,7,1
A1ZDR2UN7M92LI,0,54,2,7,5,yes,USA,yes,"When I was younger, I would go to school and I was taught things that I would later forget in life.","It's raining tomorrow, so I should probably make sure to carry and umbrella with me.",432,Thanks!,3K1H3NEY7LZG6WIWFXIJU03W1Q4DGF,7,1
A1ZI4VU6650Q8B,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and play in the band.","It's raining tomorrow, so I will take an umbrella.",966,{},3A3KKYU7P3HF7CE97VL4ZTCE4SMMW5,7,1
A1ZJLRH64XQTUV,0.037037037,54,4.625,4.375,-0.25,yes,USA,,"When I was younger, I would go to school and stuty well","It's raining tomorrow, so happy",1116,THE SURVEY IS VERY GOOD,307L9TDWJYSOYWXL9CP27BQHBP1N3Z,7,1
A1ZRK6K5JUPJAV,0,54,2.125,6.375,4.25,yes,USA,yes,"When I was younger, I would go to school and try to understand what the teacher was teaching.","It's raining tomorrow, so I will bring along an umbrella.",1008,{},3WGZLY9VCHM1DHCEWZ6V2NMYD7RD8Z,7,1
A1ZT30BGR3266K,0,54,1.2,6.4,5.2,yes,USA,yes,"When I was younger, I would go to school and change the date on the chalkboard.","It's raining tomorrow, so I'll probably play games inside.",2437,{},3G4VVJO6PZGUXFH5AXUTSMCEMQOKP3,7,1
A207IHY6GERCFO,0,54,1.375,7,5.625,yes,USA,yes,"When I was younger, I would go to school and sit in a classroom.","It's raining tomorrow, so I will stay home.",2719,n,3SR6AEG6W5TX438YVZNFSLPYYENHYQ,NA,1
A20N1NK5X5S88F,0,54,2.5,7,4.5,yes,USA,yes,"When I was younger, I would go to school and eat some amazing pizza.","It's raining tomorrow, so stay home, Netflix and chill.",1146,{},3VIVIU06FKCX6HU4IEHPY236PHOMIY,7,1
A20NLJPYP65LNU,0,54,2,4.25,2.25,,USA,yes,"When I was younger, I would go to school and study very well","It's raining tomorrow, so I'll be home",641,good survey,3P7RGTLO6EDNABB3LECW2RNJN4OAKD,7,1
A20RCHED1QJNFN,1,54,NA,NA,#VALUE!,,,,"When I was younger, I would go to school and","It's raining tomorrow, so",1264,THE SURVEY VERY IMPORTAN,3YLPJ8OXX8DESMUTBWHUFI9LR374XL,7,1
A21UA6O7ZFAIQJ,0,54,2,6.875,4.875,yes,USA,yes,"When I was younger, I would go to school and try to be quiet.","It's raining tomorrow, so let's get everything done today.",684,"Sentence: The service rated the cheapskate.

This one used to be implausible, but now it happens often.",3UZUVSO3P7VLQCSIMVRYDN5EXOHMEP,7,1
A21ZK49H9LSSRY,0.018518519,54,1,7,6,no,USA,yes,"When I was younger, I would go to school and went home close to dinner time.","It's raining tomorrow, so I cancelled the picnic with my children and plan to take them to the museum instead.",2174,{},3OB6JN3A9QPAZGXN81BYCU4XCD7MR2,7,1
A22DTDEFYRTE45,0,54,2.625,6.25,3.625,yes,USA,yes,"When I was younger, I would go to school and study hard to get good grades.","It's raining tomorrow, so I had better bring an umbrella.",2776,{},373L46LKP76YB4E7FKP9VQQ2DRIJK2,7,1
A22W4Y4UI182L2,0,54,4.7,4.7,0,yes,USA,,"When I was younger, I would go to school and","It's raining tomorrow, so",2350,{},3BAWBGQGYLZJ7K7HDFEJU9WA2UP7V5,7,1
A23KAJRDVCVGOE,0,54,1.25,6.125,4.875,yes,USA,yes,"When I was younger, I would go to school and play with my friends","It's raining tomorrow, so i brought my umbrella",1459,{},31ANT7FQN82Z2FYEKXIIHOR539JH5A,7,1
A24B5UF6RMHYGX,0.018518519,54,1.714285714,6.25,4.535714286,yes,USA,yes,"When I was younger, I would go to school and eat lunch with friends.","It's raining tomorrow, so I will complete a puzzle.",2670,ty,3AXFSPQOYQYNVIMTE9YCFDYX5V1FJW,7,1
A24LC97AU3QC7G,0,54,1,6.375,5.375,yes,USA,yes,"When I was younger, I would go to school and read, learn and get into trouble.","It's raining tomorrow, so I won't be going outside much.",1250,{},3EHVO81VN5L0EXXVJAG6EYEORTEH1S,7,1
A252T7WQTVJNR3,0,54,5.25,5.25,0,yes,USA,,"When I was younger, I would go to school and","It's raining tomorrow, so",380,GOOD,3SZYX62S5G029QS27OW6QB2BP6N75Y,7,1
A2541C8MY0BYV3,0,54,1.125,4.375,3.25,yes,USA,yes,"When I was younger, I would go to school and make some new friends.","It's raining tomorrow, so i will bring an umbrella.",3354,{},3W31J70BASWB3Q815S8N8MD7N79CKH,7,1
A256FHXGSY0E5D,0.018518519,54,1.875,7,5.125,yes,USA,yes,"When I was younger, I would go to school and make some new friends.","It's raining tomorrow, so I'm going to bring an umbrella.",2871,{},3LAZVA75NIRHVZ1E6RBA3QLUVL62OI,7,1
A25FH7PXC446RG,0,54,2.5,6.625,4.125,yes,USA,yes,"When I was younger, I would go to school and play with my friends at recess.","It's raining tomorrow, so I will stay inside and read a book.",2193,thank you,3SNR5F7R92TZUT2R1GT6LUYXGFXEI1,7,1
A25G5GC7IS14ZE,0.055555556,54,5.1,5.111111111,0.011111111,yes,USA,,"When I was younger, I would go to school and playground also","It's raining tomorrow, so leave",1907,good,3EKZL9T8Y8MK107TZ75QVUXFVQ5HCI,7,1
A2615YW1YERQBO,0,54,1,6.4,5.4,yes,USA,yes,"When I was younger, I would go to school and have to sty until afternoon.","It's raining tomorrow, so I will stay inside.",527,none,3909MD9T2ZHFK20108NLIXL50N5FEB,7,1
A26M997VYVK0E6,0,54,1,6.75,5.75,yes,USA,yes,"When I was younger, I would go to school and pay attention in class.","It's raining tomorrow, so I'm going to be wearing my sweater and take an umbrella.",2840,{},30UZJB2POHCK87RF5CTGDUQVK4153R,7,1
A26NGLGGFTATVN,0,54,1,6,5,yes,USA,,"When I was younger, I would go to school and sit in a classroom.","It's raining tomorrow, so I'll need to pack an umbrella.",404,no issues,3XD2A6FGFNU7TBE6YH7YXI39YGJ9SE,5,1
A270HX8LH9LJ8W,0,54,1.1,7,5.9,yes,USA,yes,"When I was younger, I would go to school and try to stay out of trouble.","It's raining tomorrow, so it will be too muddy to play outside.",988,{},3N3WJQXELSQ9PEYHTZVIB9H00982LU,7,1
A2717S28QHY09K,0.018518519,162,3.333333333,3.333333333,0,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",648,good,33NKDW9FFXIHNQ784BNCYGL9JGOCX6,7,2
A2717S28QHY09K,0.018518519,162,3.333333333,3.333333333,0,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",369,good,3ATYLI1PRT2H1VZMDCH2277BXWSJOM,7,1
A2717S28QHY09K,0.018518519,162,3.333333333,3.333333333,0,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant go",293,good,3DZKABX2ZI5PJ12D4WMUAVOO35GCV3,7,1
A272X64FOZFYLB,0,54,1,6.5,5.5,yes,USA,yes,"When I was younger, I would go to school and listen carefully to the teachers.","It's raining tomorrow, so I will bring an umbrella.",2789,{},35A1YQPVFEGZYA9YQF03H0SK3MY5IR,7,1
A273DS7TQWR9M1,0,54,1,6.25,5.25,yes,USA,yes,"When I was younger, I would go to school and hang out with my friends.","It's raining tomorrow, so I will bring an umbrella.",2837,{},36KM3FWE3RC3EJ61AIQU9G6K8YC70D,7,1
A27VFM67RPD2L5,0,54,1.125,7,5.875,yes,USA,yes,"When I was younger, I would go to school and hate every minute of being in class.","It's raining tomorrow, so I don't think I'll be taking a walk after all.",314,{},3PZDSVZ3J5H9GSGP9QULHGINPPXN4K,7,1
A27W025UEXS1G0,0,54,1.125,6.75,5.625,yes,USA,yes,"When I was younger, I would go to school and stare at the clock all day.","It's raining tomorrow, so I better bring a raincoat.",1319,I would've liked to see some examples of the correct answer.,3LOJFQ4BOXFL8IEF5O3YSSVP87LDKI,7,1
A28LMUIZO84GAX,0,54,5.5,6.125,0.625,yes,USA,,"When I was younger, I would go to school and BOY","It's raining tomorrow, so MUCH",1166,NICE,3VLL1PIENQO71A4QVYKOQ1V1GT4ZOK,7,1
A28VB70F9S8TJ9,0,54,3.75,5.125,1.375,yes,USA,no,"When I was younger, I would go to school and park","It's raining tomorrow, so come with Umberlla",938,good survey,3LVTFB9DE5IAV5M1KJO3UZAVK5TGQN,7,1
A29IBNSV45WIMQ,0.018518519,54,1.5,7,5.5,yes,USA,yes,"When I was younger, I would go to school and participate in class with the other students","It's raining tomorrow, so i'm going to be staying indoors",863,{},3XUY87HIVPEJ20KV3TFHQVAN6Q8MME,7,1
A29VL3MZE7YPBZ,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and learn about diiferent subjects.","It's raining tomorrow, so I should bring an umbrella.",627,{},37SDSEDIN927LMW2G6M01LLPOAO814,7,1
A2AU47UQON6TL9,0,54,1.875,7,5.125,yes,USA,yes,"When I was younger, I would go to school and say good morning to my friends.","It's raining tomorrow, so I will stay home and play video games.",1017,{},39KV3A5D1873FSQDJK9EJMC33QVS7L,7,2
A2B0FLA55RH047,0,54,1,6.2,5.2,yes,USA,yes,"When I was younger, I would go to school and play with all my friends.","It's raining tomorrow, so I will stay inside.",2250,{},375VSR8FVW9AYNW6NQ1SKW06RHPRZO,7,1
A2BUHMLNE3LUU0,0,54,5.75,4.875,-0.875,yes,USA,,"When I was younger, I would go to school and learned many subject","It's raining tomorrow, so I will take an umbrella",1569,NONE,3H6W48L9F4PLSFBMZBDWGX699XXPW4,7,1
A2BVVFXMQU8AC7,0,54,1.9,5.9,4,,USA,yes,"When I was younger, I would go to school and eat lunch and play on the play ground.","It's raining tomorrow, so i will be staying inside all day.",724,{},3GITHABACYLZDE125CBXO1LP5B1N2O,7,1
A2C84POENS2UNY,0,54,1,6.375,5.375,yes,USA,yes,"When I was younger, I would go to school and learn how to read.","It's raining tomorrow, so we should bring an umbrella.",558,{},3ZVPAMTJWN3A7611XYD3ZPK0GRVGRO,7,1
A2CD4H68NVVC5A,0,54,6.375,6,-0.375,yes,USA,,"When I was younger, I would go to school and riding books","It's raining tomorrow, so is leave",262,well study,3MQY1YVHS3KXC5C52M6OX6LVOMNB2N,7,1
A2CEGS0NVDBCPT,0,54,2.5,5.875,3.375,yes,USA,yes,"When I was younger, I would go to school and play basketball on the playground with my friends.","It's raining tomorrow, so i will probably need to bring my umbrella to work.",1465,{},32ZCLEW0BZKZMVBNSCUHR7C171OJP3,7,1
A2CEHL1T8C927W,0.018518519,54,2,5.75,3.75,,,no,"When I was younger, I would go to school and really spending time with my classmates and teachers.","It's raining tomorrow, so I will be staying inside and watching Netflix.",1576,{},3M67TQBQQHO3TFSCHHL7CI93CACA9J,7,1
A2CHDWKAYZ3P3E,0,54,1.75,6.375,4.625,yes,USA,yes,"When I was younger, I would go to school and learn what my teachers were teaching me for the day.","It's raining tomorrow, so I should probably stay in the house.",3130,NA,3SCKNODZ0XG6ZFY8BOSSKS2XGRNN74,7,1
A2CHN7YRG2LE9E,0,54,4.75,5,0.25,yes,USA,,"When I was younger, I would go to school and college in degree finished.","It's raining tomorrow, so sun in the earthup surrounding.",570,{},3NSCTNUR2ZNKSSQ0ER8Q0241QETA5S,7,1
A2CJYS92WX7HN6,0.018518519,54,1,5.25,4.25,yes,USA,,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I'm going to stay inside.",3464,{},3M93N4X8HKNWZNRFKTYBMCHCULVJSJ,7,5
A2CPI18KZN30KW,0,54,1.5,5.8,4.3,yes,USA,yes,loved to study books,its better to take an umbrella,587,All the best,3A9LA2FRWSE84YIOQ31D97IPW8THXK,7,1
A2CWJRAEFZ44HU,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and smoke cigarettes in the bathroomo","It's raining tomorrow, so i think i'll have soup for dinner",1158,{},3HXCEECSQMTJVO8S1LTMSST3U33ZYV,7,1
A2D62KZUMKIA8K,0.018518519,54,5.2,5,-0.2,yes,USA,,"When I was younger, I would go to school and","It's raining tomorrow, so",342,GOOD,3L4YG5VW9NSDUC85D7HBOF0ZOYODD5,7,1
A2DNAK7ZHXUL77,0,54,5,3.75,-1.25,yes,USA,,"When I was younger, I would go to school and learn a things","It's raining tomorrow, so It is going to rain tomorrow",1849,no negative things,3X55NP42EOGO1H9YPR2UB0VCB42P3X,7,1
A2DVJ6OMVVYTC7,0,54,4,4.75,0.75,yes,USA,,"When I was younger, I would go to school and I would learn and go to gym and play with the other kids.","It's raining tomorrow, so I need to put the chairs and grill under the deck.",3341,{},3RQVKZ7ZRKJAAT9FP5U8S4ZZ5WW72X,7,2
A2E0LU8V4EUX5C,0,54,1.125,5.375,4.25,yes,USA,yes,"When I was younger, I would go to school and take the bus both ways.","It's raining tomorrow, so I will bring my umbrella.",1247,"page loaded fine, no technical issues",3NZ1E5QA6Z1PB2VSK58MVDO78WE5BI,7,1
A2EELTS09HUTSF,0.074074074,54,4.375,5.5,1.125,yes,USA,no,"When I was younger, I would go to school and","It's raining tomorrow, so",526,{},3I6NF2WGIGWL2J330R00WOF4O965GZ,7,1
A2EI075XZT9Y2S,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and learn many things in class.","It's raining tomorrow, so I better get my yard work done today.",952,{},3EKTG13IZU3ZWI2A3HE2QIVY6LIMLC,7,1
A2EJ06OGI9671Q,0,54,1.125,7,5.875,yes,USA,yes,"When I was younger, I would go to school and sit quietly and listen to the teacher.","It's raining tomorrow, so I will wear my rainboots and remember my umbrella.",633,{},338GLSUI43BGUL5J137Q7EPK1EESFP,7,1
A2EPBSY0VPI38S,0,54,1,6.375,5.375,yes,USA,,"When I was younger, I would go to school and learn how to read and write.","It's raining tomorrow, so I will wear my yellow rain boots.",2586,n/a,3FVBZG9CLJE078CDNRC60TVEM18H0P,7,7
A2FGKKWP33DFWS,0,54,1,5.375,4.375,yes,USA,yes,"When I was younger, I would go to school and study hard to make good grades","It's raining tomorrow, so I will make sure I have an umbrella with me",1483,{},3UQ1LLR26A8YUHTL6EOXHR0YC4TALG,7,1
A2FMEIDYEIWJA8,0,54,1,6.5,5.5,yes,USA,yes,"When I was younger, I would go to school and take notes in class.","It's raining tomorrow, so I can't go to the park.",833,The instructions were easy to understand and I thought the survey was well-paid :),3IHWR4LC7DDILSS0OD76TK2B5CZI86,7,1
A2FOUSWQDYHIE0,0,54,2.75,6.375,3.625,yes,USA,yes,"When I was younger, I would go to school and play tennis with my friends","It's raining tomorrow, so I cannot play outside with my brother",569,I hope my input helps! Thank you!,3KQC8JMJGCSWO0BA6EUP2RTLPDSH3K,7,1
A2FYQIZWV2UJHS,0,54,1.1,6.2,5.1,yes,USA,yes,"When I was younger, I would go to school and attend my classes daily.","It's raining tomorrow, so I need to bring my umbrella.",481,this was nicely paid. Thank you,34D9ZRXCYRULYUOBQNLYTDET4Y1SAC,7,1
A2GTO3481Z6486,0,54,1.1,5.9,4.8,yes,USA,yes,"When I was younger, I would go to school and quickly fall asleep.","It's raining tomorrow, so I will bring an umbrella.",986,{},3I01FDIL6M8QR2APGIXUSW9VR7ZD2W,7,1
A2HGJV9XNBGTSZ,0.018518519,54,3.875,3.857142857,-0.017857143,yes,USA,,"When I was younger, I would go to school and I would study at classroom.","It's raining tomorrow, so I will take an umberla with me",2366,Nice.,3JMQI2OLFZ5MGOZI21VEKKCT22QDNN,7,1
A2HRUFTA09371Y,0,54,1.125,6.875,5.75,yes,USA,yes,"When I was younger, I would go to school and learn how to read.","It's raining tomorrow, so I will bring an umbrella.",326,good luck with your research!,30U1YOGZGAWJW1RNAXC0JEMZP1YSDE,7,1
A2HSCKH5NKN5LP,0,54,1.5,7,5.5,yes,USA,yes,"When I was younger, I would go to school and pay attention to the teachers.","It's raining tomorrow, so hopefully it's sunny the next day.",429,"I rated the sorcerer/dwarf, as well as the pixie one implausible because the instructions say ""real world"" sorry if this is incorrect.",3S1L4CQSFX5CUPJPK3LZMEVEF87AFB,7,1
A2HU2D8889A2FV,0,54,1.8,6.4,4.6,,USA,yes,"When I was younger, I would go to school and learn all types of things.","It's raining tomorrow, so wear something that is waterproof.",876,{},3R5OYNIC2C9T0Y7S468LTDZA53FPTE,7,1
A2HZPQDYHDZWBA,0,54,1.8,7,5.2,no,OTHER,yes,"When I was younger, I would go to school and spend there the whole day","It's raining tomorrow, so you'll need to wear you rain boots.",859,{},3LOJFQ4BOXFL8IEF5O3YSSVP87LKDP,7,1
A2I6ZALE49CVSC,0.018518519,54,3.625,4,0.375,yes,USA,,"When I was younger, I would go to school and learn from the teacher","It's raining tomorrow, so I will stay inside",1366,{},3TY2U1TEB7A30K8PXZPXUBQPY2IJJ3,7,1
A2I960JYUZ8KAV,0,54,1,6.375,5.375,yes,USA,yes,"When I was younger, I would go to school and spend time with all my friends.","It's raining tomorrow, so I think I will choose another day to go hiking.",426,{},3UYRNV2KITZAZT3RLTKYYSYSRBTN8R,7,1
A2INXY39KBM92F,0,54,1.25,5.625,4.375,yes,USA,yes,"When I was younger, I would go to school and enthusiastically learn about many things.","It's raining tomorrow, so I will plan what I'll wear accordingly.",467,{},322ZSN9Z5GK7B5L96MGXQFOFE7J4T2,7,1
A2IP3ZAFYGV8M9,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and hang out with my friends.","It's raining tomorrow, so I think I'll stay at home.",400,{},3UL5XDRDNCJ694XLHTOC4BY60QT58J,7,1
A2IQ0QCTQ3KWLT,0,54,2.25,6.625,4.375,yes,USA,yes,"When I was younger, I would go to school and clean the blackboard of chalk","It's raining tomorrow, so I will being an umbrella",2067,{},3WGCNLZJKF8J2HSTXEXGNDZQZ1LD1F,7,1
A2JDYN6QM8M5UN,0,54,1.125,6.125,5,yes,USA,yes,"When I was younger, I would go to school and learn about various subjects.","It's raining tomorrow, so make sure to bring an umbrella.",751,{},37ZQELHEQ0YPKI5VFUUH3AZNBGIMNE,7,1
A2JJF5OFND2KL5,0,54,5.125,5.125,0,yes,USA,,"When I was younger, I would go to school and listen to my teacher","It's raining tomorrow, so I will not be coming out.",3372,{},3IKDQS3DQE0KXVID5PNBV6YUV3KCI6,7,1
A2JP9IKRHNLRPI,0,54,1.75,6,4.25,yes,USA,yes,"When I was younger, I would go to school and dread every minute of it.","It's raining tomorrow, so I should make sure I have an umbrella.",1494,{},3FBEFUUYRK5GBWQEJAIVS8I1M94A68,7,1
A2JRF141BH3W3Y,0,54,1.125,6.625,5.5,yes,USA,yes,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so we need to prepare for cold.",1957,{},3RIHDBQ1NEYXAMJKCWZ4YQ2RP49MH5,7,1
A2JTSH1VPJQ8FR,0,54,1,6.5,5.5,yes,USA,no,"When I was younger, I would go to school and learn","It's raining tomorrow, so umbrella is needed",1735,none,36JW4WBR06KR4CR3Q9VR30IIS3XHFT,7,2
A2K3HEVVEWLUS4,0,54,5.5,5.5,0,yes,USA,,"When I was younger, I would go to school and finish the homework","It's raining tomorrow, so",523,nice,3VGZ74AYTGG614CIF1N8AULEGQSCGE,7,1
A2KCNGLOYTL96C,0,54,6,5.375,-0.625,yes,USA,,"When I was younger, I would go to school and meet with a friends","It's raining tomorrow, so we won't go to the park",627,good one,3T5ZXGO9DEOAMMH6ABCSF6Q1VUMZQS,7,1
A2KSAAQBU5R0F6,0,54,1.3,5.3,4,yes,USA,yes,"When I was younger, I would go to school and learn about books.","It's raining tomorrow, so I can not go out.",701,{},3B0MCRZMBRUV86ELNPZ1O3YDG0UPP9,7,1
A2L87NQSYMJEEK,0,54,6.4,5.5,-0.9,yes,USA,,"When I was younger, I would go to school and park, ground and cycling.","It's raining tomorrow, so I come with umbrella.",1015,Nice,3CKVGCS3PG5PXHQTYLO5472GVCPS0L,7,6
A2LAMCJLVCRQ4T,0,54,1,6.75,5.75,yes,USA,yes,"When I was younger, I would go to school and read many books at the library.","It's raining tomorrow, so I'd better bring an umbrella.",1436,{},301KG0KX9CL73IFR2EGKJHOTJZSH29,7,1
A2LT6KC1X51FVW,0,54,1.5,7,5.5,yes,USA,yes,"When I was younger, I would go to school and enjoy learning about science.","It's raining tomorrow, so I have to carry an umbrella with me if I go anywhere.",2924,{},3O2Y2UIUCQUI62SBWUYOGSYAKK1FKV,NA,1
A2M17UGPFZWXQW,0,54,4.25,4.625,0.375,yes,USA,,"When I was younger, I would go to school and good studying,learning,communicating","It's raining tomorrow, so I won't go to the school",1454,Red Forest,3MYASTQBG7B7JLCAITNVOE7Y7DDDQA,7,1
A2MCG5W6LHSRG9,0,54,1.3,7,5.7,yes,USA,yes,"When I was younger, I would go to school and learn to read and write.","It's raining tomorrow, so I'll need to remember to bring an umbrella.",1193,{},391FPZIE4CMGNUOTLYQQP0JL2QCHUS,7,1
A2ML0070M8FDK1,0,54,1,6.375,5.375,yes,USA,yes,"When I was younger, I would go to school and learn to read books.","It's raining tomorrow, so I will not be going out.",1081,{},3DIIW4IV8PVH2R5YCAHTC8M63Q3I4Z,7,1
A2MM8RN9555ZNJ,0,54,2,5,3,yes,USA,no,"When I was younger, I would go to school and done home work","It's raining tomorrow, so take care of your health",2739,{},3PEG1BH7AERSTLGVRSCSX27P5M9KBI,7,1
A2MOKIEQZ0OF2M,0,54,1.5,6.2,4.7,yes,USA,yes,"When I was younger, I would go to school and Play on the playground.","It's raining tomorrow, so I will have to stay in.",555,"I enjoyed the survey, it was very interesting.",3SCKNODZ0XG6ZFY8BOSSKS2XGRN7NO,7,1
A2MS1GQLGAX9FZ,0,54,1.125,7,5.875,yes,USA,yes,"When I was younger, I would go to school and learn and play","It's raining tomorrow, so I will take an umbrella outside",891,{},3QREJ3J433X46U27I51MB53UHGNKL5,7,1
A2N2GFB33ZMYGF,0,54,1,6.5,5.5,yes,USA,yes,"When I was younger, I would go to school and play on the swings.","It's raining tomorrow, so I will stay inside my house.",1575,{},375VSR8FVW9AYNW6NQ1SKW06RGOZRT,7,1
A2N39KH7N8TB3Z,0,54,6.75,6.875,0.125,yes,USA,,"When I was younger, I would go to school and stuyd","It's raining tomorrow, so I cant school",640,good,3U18MJKL1UMCBWT425030EUBH2ECNM,7,1
A2N9U74YIPDQ9F,0,54,1.5,5.875,4.375,yes,USA,yes,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I'll plan to bring an umbrella.",393,{},351S7I5UG9WZJAZACXHPNI767MNJN7,7,1
A2NEFRREWF33YP,0,54,1.9,6.6,4.7,yes,USA,yes,"When I was younger, I would go to school and carry a miniature briefcase, like I was playing businesswoman.","It's raining tomorrow, so I will make sure not to water the plants today.",1569,{},34KYK9TV2R8QH4T3W1LUOOYZMGMSB7,7,1
A2NELZYZFD4SSQ,0,54,1.625,6.75,5.125,yes,USA,yes,"When I was younger, I would go to school and learn about different subjects.","It's raining tomorrow, so I should bring an umbrella.",2804,{},3UY4PIS8QRLSOTJ6M8BJJIBKD5NN17,7,1
A2NHFSO7GMM8QR,0,54,1,6.8,5.8,yes,USA,yes,"When I was younger, I would go to school and take my teddy bear with me","It's raining tomorrow, so i will not go to the mall",1511,{},3GVPRXWRPHUELENHE8F0FK6GUST7I8,7,1
A2NT3OQZUUZPEO,0,54,1.1,7,5.9,yes,USA,yes,"When I was younger, I would go to school and count the minutes until the last bell.","It's raining tomorrow, so I probably won't go to the park.",2681,{},3QHITW7OYO99LE9YYJWTYDZSMAGAQ5,7,1
A2NXMRPHG86N2T,0,54,1.9,7,5.1,yes,USA,yes,"When I was younger, I would go to school and study in class.","It's raining tomorrow, so I need an umbrella.",3330,{},3G4VVJO6PZGUXFH5AXUTSMCEMQOPK8,7,1
A2O4XAP7RMWJJ4,0,54,5.25,4.875,-0.375,yes,USA,,"When I was younger, I would go to school and play game, spend with friends, study","It's raining tomorrow, so leave, play a football, don't go school.",978,This is nice task.,3CVDZS288H0DWQSEH6B4V5QE9PWFM0,7,1
A2O67PQ9YKH2FY,0,54,5.75,5.25,-0.5,yes,USA,,"When I was younger, I would go to school and playing to game.","It's raining tomorrow, so safe to home.",2841,Interesting in this study.,3VCK0Q0PO5ESH4YOQP7J5DSA8DHN04,7,1
A2OD2CFXV8WT53,0,54,5.25,5.75,0.5,yes,USA,,ME,I AM HAPPY,229,{},3Y7LTZE0YTM2EFONRKWXP7NQYFSZUX,7,1
A2ONILC0LZKG6Y,0,54,1.875,6.25,4.375,yes,USA,yes,"When I was younger, I would go to school and talk with my friends during recess.","It's raining tomorrow, so we won't be able to host the picnic at the park.",519,{},3BFNCI9LYKQZVB5YT58DBE4RBAW738,7,1
A2OR46JV43TOJV,0,54,2.1,1.7,-0.4,yes,USA,,"When I was younger, I would go to school and studied well.","It's raining tomorrow, so no vacation.",2960,Nice task and thanks for the opportunity.,3MG8450X2OA80BMH4BYVY9LCOASUP2,7,1
A2OU4N4VBIE91I,0,54,2.5,7,4.5,yes,USA,yes,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will stay inside and read.",2916,{},3RHLQY6EDT40UGPCKWGILB6TBLVD4S,7,1
A2OU924AC8XCYC,0,54,1.75,6.25,4.5,yes,USA,yes,"When I was younger, I would go to school and learn and see friends.","It's raining tomorrow, so we should get outside today.",1096,{},3VMV5CHJZ8FNNLET1NIYZ4LI4CSGT1,7,1
A2OVET58SDVSB2,0,54,6.375,5.625,-0.75,yes,USA,,"When I was younger, I would go to school and park,beach,theater and playground","It's raining tomorrow, so I won't go to Office",1630,{},39HYCOOPKOLGY6EIQ0GE75NTXCGDMN,7,1
A2OVX9UW5WANQE,0,54,1,6.375,5.375,yes,USA,yes,"When I was younger, I would go to school and learn to read.","It's raining tomorrow, so I will stay home.",3023,{},35JDMRECC49LY2WWBST30ILH125EG9,7,1
