ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,sentence
154,passive,plausible,The manufacturer was robbed by the thief.,The thief robbed the manufacturer.,AAN,11.33189569
154,passive,implausible,The thief was robbed by the manufacturer.,The thief robbed the manufacturer.,AAN,11.33189569
155,passive,plausible,The industrialist was burgled by the robber.,The robber burgled the industrialist.,AAN,11.00768118
155,passive,implausible,The robber was burgled by the industrialist.,The robber burgled the industrialist.,AAN,11.00768118
156,passive,plausible,The contestant was discouraged by the pessimist.,The pessimist discouraged the contestant.,AAN,11.10807508
156,passive,implausible,The pessimist was discouraged by the contestant.,The pessimist discouraged the contestant.,AAN,11.10807508
157,passive,plausible,The participant was dissuaded by the cynic.,The cynic dissuaded the participant.,AAN,11.28008214
157,passive,implausible,The cynic was dissuaded by the participant.,The cynic dissuaded the participant.,AAN,11.28008214
158,passive,plausible,The loner was tormented by the loudmouth.,The loudmouth tormented the loner.,AAN,10.97362161
158,passive,implausible,The loudmouth was tormented by the loner.,The loudmouth tormented the loner.,AAN,10.97362161
159,passive,plausible,The recluse was taunted by the windbag.,The windbag taunted the recluse.,AAN,10.80659662
159,passive,implausible,The windbag was taunted by the recluse.,The windbag taunted the recluse.,AAN,10.80659662
160,passive,plausible,The investigator was fooled by the imitator.,The imitator fooled the investigator.,AAN,11.29359764
160,passive,implausible,The imitator was fooled by the investigator.,The imitator fooled the investigator.,AAN,11.29359764
161,passive,plausible,The inspector was conned by the impersonator.,The impersonator conned the inspector.,AAN,10.96486273
161,passive,implausible,The impersonator was conned by the inspector.,The impersonator conned the inspector.,AAN,10.96486273
162,passive,plausible,The worker was fired by the boss.,The boss fired the worker.,AAN,12.08606963
162,passive,implausible,The boss was fired by the worker.,The boss fired the worker.,AAN,12.08606963
163,passive,plausible,The shopkeeper was unnerved by the pyromaniac.,The pyromaniac unnerved the shopkeeper.,AAN,10.74937678
163,passive,implausible,The pyromaniac was unnerved by the shopkeeper.,The pyromaniac unnerved the shopkeeper.,AAN,10.74937678
164,passive,plausible,The vendor was alarmed by the arsonist.,The arsonist alarmed the vendor.,AAN,10.95861581
164,passive,implausible,The arsonist was alarmed by the vendor.,The arsonist alarmed the vendor.,AAN,10.95861581
165,passive,plausible,The beginner was supported by the professional.,The professional supported the beginner.,AAN,11.49643779
165,passive,implausible,The professional was supported by the beginner.,The professional supported the beginner.,AAN,11.49643779
166,passive,plausible,The rookie was encouraged by the master.,The master encouraged the rookie.,AAN,11.49483527
166,passive,implausible,The master was encouraged by the rookie.,The master encouraged the rookie.,AAN,11.49483527
167,passive,plausible,The crowd was hypnotized by the magician.,The magician hypnotized the crowd.,AAN,11.28982148
167,passive,implausible,The magician was hypnotized by the crowd.,The magician hypnotized the crowd.,AAN,11.28982148
168,passive,plausible,The viewers were entranced by the illusionist.,The illusionist entranced the viewers.,AAN,10.7289997
168,passive,implausible,The illusionist were entranced by the viewers.,The illusionist entranced the viewers.,AAN,10.7289997
169,passive,plausible,The expert was employed by the businessman.,The businessman employed the expert.,AAN,11.6936715
169,passive,implausible,The businessman was employed by the expert.,The businessman employed the expert.,AAN,11.6936715
170,passive,plausible,The specialist was hired by the entrepreneur.,The entrepreneur hired the specialist.,AAN,11.43505888
170,passive,implausible,The entrepreneur was hired by the specialist.,The entrepreneur hired the specialist.,AAN,11.43505888
171,passive,plausible,The first lady was petrified by the terrorist.,The terrorist petrified the first lady.,AAN,11.37721717
171,passive,implausible,The terrorist was petrified by the first lady.,The terrorist petrified the first lady.,AAN,11.37721717
172,passive,plausible,The president's wife was terrified by the hijacker.,The hijacker terrified the president's wife.,AAN,10.41736954
172,passive,implausible,The hijacker was terrified by the president's wife.,The hijacker terrified the president's wife.,AAN,10.41736954
173,passive,plausible,The gold medalist was praised by the judge.,The judge praised the gold medalist.,AAN,11.40990001
173,passive,implausible,The judge was praised by the gold medalist.,The judge praised the gold medalist.,AAN,11.40990001
174,passive,plausible,The winner was congratulated by the panelist.,The panelist congratulated the winner.,AAN,10.70326377
174,passive,implausible,The panelist was congratulated by the winner.,The panelist congratulated the winner.,AAN,10.70326377
175,passive,plausible,The victor was emulated by the liar.,The liar emulated the victor.,AAN,11.68349882
175,passive,implausible,The liar was emulated by the victor.,The liar emulated the victor.,AAN,11.68349882
176,passive,plausible,The conqueror was imitated by the deceiver.,The deceiver imitated the conqueror.,AAN,11.12296589
176,passive,implausible,The deceiver was imitated by the conqueror.,The deceiver imitated the conqueror.,AAN,11.12296589
177,passive,plausible,The tobacconist was cautioned by the environmentalist.,The environmentalist cautioned the tobacconist.,AAN,10.71770246
177,passive,implausible,The environmentalist was cautioned by the tobacconist.,The environmentalist cautioned the tobacconist.,AAN,10.71770246
178,passive,plausible,The cigar-maker was warned by the ecologist.,The ecologist warned the cigar-maker.,AAN,9.942389354
178,passive,implausible,The ecologist was warned by the cigar-maker.,The ecologist warned the cigar-maker.,AAN,9.942389354
179,passive,plausible,The ancestors were idolized by the peasant.,The peasant idolized his ancestors.,AAN,11.22271251
179,passive,implausible,The peasant were idolized by the ancestors.,The peasant idolized his ancestors.,AAN,11.22271251
180,passive,plausible,The forefathers were worshipped by the serf.,The serf worshipped his forefathers.,AAN,10.99703941
180,passive,implausible,The serf were worshipped by the forefathers.,The serf worshipped his forefathers.,AAN,10.99703941
181,passive,plausible,The guest was hassled by the alcoholic.,The alcoholic hassled the guest.,AAN,11.08305491
181,passive,implausible,The alcoholic was hassled by the guest.,The alcoholic hassled the guest.,AAN,11.08305491
182,passive,plausible,The visitor was bothered by the drunk.,The drunk bothered the visitor.,AAN,11.3716508
182,passive,implausible,The drunk was bothered by the visitor.,The drunk bothered the visitor.,AAN,11.3716508
183,passive,plausible,The athlete was vexed by the commentator.,The commentator vexed the athlete.,AAR,11.28618637
183,passive,plausible,The commentator was vexed by the athlete.,The commentator vexed the athlete.,AAR,11.28618637
184,passive,plausible,The jock was peeved by the sportscaster.,The sportscaster peeved the jock.,AAR,10.87003536
184,passive,plausible,The sportscaster was peeved by the jock.,The sportscaster peeved the jock.,AAR,10.87003536
185,passive,plausible,The churchgoer was hugged by the preacher.,The preacher hugged the churchgoer.,AAR,10.95482864
185,passive,plausible,The preacher was hugged by the churchgoer.,The preacher hugged the churchgoer.,AAR,10.95482864
186,passive,plausible,The parishioner was embraced by the pastor.,The pastor embraced the parishioner.,AAR,11.3776888
186,passive,plausible,The pastor was embraced by the parishioner.,The pastor embraced the parishioner.,AAR,11.3776888
187,passive,plausible,The clown was mocked by the maniac.,The maniac mocked the clown.,AAR,11.2684613
187,passive,plausible,The maniac was mocked by the clown.,The maniac mocked the clown.,AAR,11.2684613
188,passive,plausible,The jester was ridiculed by the lunatic.,The lunatic ridiculed the jester.,AAR,11.09925438
188,passive,plausible,The lunatic was ridiculed by the jester.,The lunatic ridiculed the jester.,AAR,11.09925438
189,passive,plausible,The inventor was contacted by the archivist.,The archivist contacted the inventor.,AAR,11.21424684
189,passive,plausible,The archivist was contacted by the inventor.,The archivist contacted the inventor.,AAR,11.21424684
190,passive,plausible,The innovator was approached by the historian.,The historian approached the innovator.,AAR,11.32796067
190,passive,plausible,The historian was approached by the innovator.,The historian approached the innovator.,AAR,11.32796067
191,passive,plausible,The landscaper was called by the janitor.,The janitor called the landscaper.,AAR,11.24636775
191,passive,plausible,The janitor was called by the landscaper.,The janitor called the landscaper.,AAR,11.24636775
192,passive,plausible,The gardener was phoned by the custodian.,The custodian phoned the gardener.,AAR,10.83735398
192,passive,plausible,The custodian was phoned by the gardener.,The custodian phoned the gardener.,AAR,10.83735398
193,passive,plausible,The weatherman was annoyed by the drummer.,The drummer annoyed the weatherman.,AAR,10.76012837
193,passive,plausible,The drummer was annoyed by the weatherman.,The drummer annoyed the weatherman.,AAR,10.76012837
194,passive,plausible,The meteorologist was displeased by the percussionist.,The percussionist displeased the meteorologist.,AAR,10.7411217
194,passive,plausible,The percussionist was displeased by the meteorologist.,The percussionist displeased the meteorologist.,AAR,10.7411217
195,passive,plausible,The defendant was belittled by the go-between.,The go-between belittled the defendant.,AAR,10.15522782
195,passive,plausible,The go-between was belittled by the defendant.,The go-between belittled the defendant.,AAR,10.15522782
196,passive,plausible,The felon was deprecated by the intermediary.,The intermediary deprecated the felon.,AAR,11.16679835
196,passive,plausible,The intermediary was deprecated by the felon.,The intermediary deprecated the felon.,AAR,11.16679835
197,passive,plausible,The envoy was entertained by the valet.,The valet entertained the envoy.,AAR,11.66600416
197,passive,plausible,The valet was entertained by the envoy.,The valet entertained the envoy.,AAR,11.66600416
198,passive,plausible,The emissary was amused by the manservant.,The manservant amused the emissary.,AAR,10.80202483
198,passive,plausible,The manservant was amused by the emissary.,The manservant amused the emissary.,AAR,10.80202483
199,passive,plausible,The stranger was pushed by the acrobat.,The acrobat pushed the stranger.,AAR,11.30339771
199,passive,plausible,The acrobat was pushed by the stranger.,The acrobat pushed the stranger.,AAR,11.30339771
200,passive,plausible,The outsider was shoved by the gymnast.,The gymnast shoved the outsider.,AAR,11.12494053
200,passive,plausible,The gymnast was shoved by the outsider.,The gymnast shoved the outsider.,AAR,11.12494053
201,passive,plausible,The architect was calmed by the benefactor.,The benefactor calmed the architect.,AAR,11.35898361
201,passive,plausible,The benefactor was calmed by the architect.,The benefactor calmed the architect.,AAR,11.35898361
202,passive,plausible,The draftsman was soothed by the patron.,The patron soothed the draftsman.,AAR,11.31295826
202,passive,plausible,The patron was soothed by the draftsman.,The patron soothed the draftsman.,AAR,11.31295826
203,passive,plausible,The hairdresser was lauded by the therapist.,The therapist lauded the hairdresser.,AAR,10.88285036
203,passive,plausible,The therapist was lauded by the hairdresser.,The therapist lauded the hairdresser.,AAR,10.88285036
204,passive,plausible,The hairstylist was extolled by the psychologist.,The psychologist extolled the hairstylist.,AAR,10.78579843
204,passive,plausible,The psychologist was extolled by the hairstylist.,The psychologist extolled the hairstylist.,AAR,10.78579843
205,passive,plausible,The baroness was married by the nobleman.,The nobleman married the baroness.,AAR,11.3057576
205,passive,plausible,The nobleman was married by the baroness.,The nobleman married the baroness.,AAR,11.3057576
206,passive,plausible,The countess was wed by the aristocrat.,The aristocrat wed the countess.,AAR,11.81090502
206,passive,plausible,The aristocrat was wed by the countess.,The aristocrat wed the countess.,AAR,11.81090502
207,passive,plausible,The creditor was assuaged by the actuary.,The actuary assuaged the creditor.,AAR,11.17601774
207,passive,plausible,The actuary was assuaged by the creditor.,The actuary assuaged the creditor.,AAR,11.17601774
208,passive,plausible,The investor was relieved by the analyst.,The analyst relieved the investor.,AAR,11.3602027
208,passive,plausible,The analyst was relieved by the investor.,The analyst relieved the investor.,AAR,11.3602027
209,passive,plausible,The psychic was frightened by the sailor.,The sailor frightened the psychic.,AAR,11.38601258
209,passive,plausible,The sailor was frightened by the psychic.,The sailor frightened the psychic.,AAR,11.38601258
210,passive,plausible,The fortune-teller was scared by the mariner.,The mariner scared the fortune-teller.,AAR,10.16255208
210,passive,plausible,The mariner was scared by the fortune-teller.,The mariner scared the fortune-teller.,AAR,10.16255208
211,passive,plausible,The auditor was flattered by the assistant.,The assistant flattered the auditor.,AAR,11.50273243
211,passive,plausible,The assistant was flattered by the auditor.,The assistant flattered the auditor.,AAR,11.50273243
212,passive,plausible,The appraiser was complimented by the helper.,The helper complimented the appraiser.,AAR,10.99510708
212,passive,plausible,The helper was complimented by the appraiser.,The helper complimented the appraiser.,AAR,10.99510708
213,passive,plausible,The trooper was believed by the immigrant.,The immigrant believed the trooper.,AAR,11.47118864
213,passive,plausible,The immigrant was believed by the trooper.,The immigrant believed the trooper.,AAR,11.47118864
214,passive,plausible,The patrolman was trusted by the foreigner.,The foreigner trusted the patrolman.,AAR,11.05952573
214,passive,plausible,The foreigner was trusted by the patrolman.,The foreigner trusted the patrolman.,AAR,11.05952573
215,passive,plausible,The farmer was affronted by the mapmaker.,The mapmaker affronted the farmer.,AAR,11.1628896
215,passive,plausible,The mapmaker was affronted by the farmer.,The mapmaker affronted the farmer.,AAR,11.1628896
216,passive,plausible,The rancher was insulted by the cartographer.,The cartographer insulted the rancher.,AAR,11.03509212
216,passive,plausible,The cartographer was insulted by the rancher.,The cartographer insulted the rancher.,AAR,11.03509212
217,passive,plausible,The entertainer was awed by the poet.,The poet awed the entertainer.,AAR,11.5558951
217,passive,plausible,The poet was awed by the entertainer.,The poet awed the entertainer.,AAR,11.5558951
218,passive,plausible,The performer was dazzled by the lyricist.,The lyricist dazzled the performer.,AAR,10.86983149
218,passive,plausible,The lyricist was dazzled by the performer.,The lyricist dazzled the performer.,AAR,10.86983149
219,passive,plausible,The manager was tested by the peddler.,The peddler tested the manager.,AAR,11.53002322
219,passive,plausible,The peddler was tested by the manager.,The peddler tested the manager.,AAR,11.53002322
220,passive,plausible,The executive was challenged by the traveling salesman.,The traveling salesman challenged the executive.,AAR,10.97832267
220,passive,plausible,The traveling salesman was challenged by the executive.,The traveling salesman challenged the executive.,AAR,10.97832267
221,passive,plausible,The diva was admired by the musician.,The musician admired the diva.,AAR,11.56706706
221,passive,plausible,The musician was admired by the diva.,The musician admired the diva.,AAR,11.56706706
222,passive,plausible,The prima donna was adored by the instrumentalist.,The instrumentalist adored the prima donna.,AAR,11.15250953
222,passive,plausible,The instrumentalist was adored by the prima donna.,The instrumentalist adored the prima donna.,AAR,11.15250953
223,passive,plausible,The hero was welcomed by the general.,The general welcomed the hero.,AAR,12.03688249
223,passive,plausible,The general was welcomed by the hero.,The general welcomed the hero.,AAR,12.03688249
224,passive,plausible,The champion was greeted by the commander.,The commander greeted the champion.,AAR,11.31029153
224,passive,plausible,The commander was greeted by the champion.,The commander greeted the champion.,AAR,11.31029153
225,passive,plausible,The stonecutter was disdained by the cobbler.,The cobbler disdained the stonecutter.,AAR,10.81038744
225,passive,plausible,The cobbler was disdained by the stonecutter.,The cobbler disdained the stonecutter.,AAR,10.81038744
226,passive,plausible,The mason was scorned by the shoemaker.,The shoemaker scorned the mason.,AAR,11.20715407
226,passive,plausible,The shoemaker was scorned by the mason.,The shoemaker scorned the mason.,AAR,11.20715407
227,passive,plausible,The chaplain was noticed by the postman.,The postman noticed the chaplain.,AAR,11.30160625
227,passive,plausible,The postman was noticed by the chaplain.,The postman noticed the chaplain.,AAR,11.30160625
228,passive,plausible,The minister was seen by the mailman.,The mailman saw the minister.,AAR,11.74775737
228,passive,plausible,The mailman was seen by the minister.,The mailman saw the minister.,AAR,11.74775737
229,passive,plausible,The playwright was begrudged by the composer.,The composer begrudged the playwright.,AAR,11.00991292
229,passive,plausible,The composer was begrudged by the playwright.,The composer begrudged the playwright.,AAR,11.00991292
230,passive,plausible,The dramatist was envied by the songwriter.,The songwriter envied the dramatist.,AAR,10.92151426
230,passive,plausible,The songwriter was envied by the dramatist.,The songwriter envied the dramatist.,AAR,10.92151426
231,passive,plausible,The residents were angered by the dictator.,The dictator angered the residents.,AAR,11.19510451
231,passive,plausible,The dictator were angered by the residents.,The dictator angered the residents.,AAR,11.19510451
232,passive,plausible,The townspeople were enraged by the despot.,The despot enraged the townspeople.,AAR,11.05465764
232,passive,plausible,The despot were enraged by the townspeople.,The despot enraged the townspeople.,AAR,11.05465764
233,passive,plausible,The oracle was baffled by the missionary.,The missionary baffled the oracle.,AAR,11.24972701
233,passive,plausible,The missionary was baffled by the oracle.,The missionary baffled the oracle.,AAR,11.24972701
234,passive,plausible,The soothsayer was mystified by the evangelist.,The evangelist mystified the soothsayer.,AAR,11.07308522
234,passive,plausible,The evangelist was mystified by the soothsayer.,The evangelist mystified the soothsayer.,AAR,11.07308522
235,passive,plausible,The fighter was choked by the trespasser.,The trespasser choked the fighter.,AAR,11.15899681
235,passive,plausible,The trespasser was choked by the fighter.,The trespasser choked the fighter.,AAR,11.15899681
236,passive,plausible,The warrior was strangled by the encroacher.,The encroacher strangled the warrior.,AAR,11.08304256
236,passive,plausible,The encroacher was strangled by the warrior.,The encroacher strangled the warrior.,AAR,11.08304256
237,passive,plausible,The donor was introduced by the broker.,The broker introduced the donor.,AAR,11.69726837
237,passive,plausible,The broker was introduced by the donor.,The broker introduced the donor.,AAR,11.69726837
238,passive,plausible,The sponsor was presented by the dealer.,The dealer presented the sponsor.,AAR,11.67872799
238,passive,plausible,The dealer was presented by the sponsor.,The dealer presented the sponsor.,AAR,11.67872799
239,passive,plausible,The dean was commended by the shrink.,The shrink commended the dean.,AAR,11.47857761
239,passive,plausible,The shrink was commended by the dean.,The shrink commended the dean.,AAR,11.47857761
240,passive,plausible,The provost was applauded by the psychiatrist.,The psychiatrist applauded the provost.,AAR,11.07426805
240,passive,plausible,The psychiatrist was applauded by the provost.,The psychiatrist applauded the provost.,AAR,11.07426805
241,passive,plausible,The homeless person was provoked by the refugee.,The refugee provoked the homeless person.,AAR,11.32218646
241,passive,plausible,The refugee was provoked by the homeless person.,The refugee provoked the homeless person.,AAR,11.32218646
242,passive,plausible,The vagrant was goaded by the asylum seeker.,The asylum seeker goaded the vagrant.,AAR,10.69427621
242,passive,plausible,The asylum seeker was goaded by the vagrant.,The asylum seeker goaded the vagrant.,AAR,10.69427621
243,passive,plausible,The messenger was swindled by the interpreter.,The interpreter swindled the messenger.,AAR,11.1234308
243,passive,plausible,The interpreter was swindled by the messenger.,The interpreter swindled the messenger.,AAR,11.1234308
244,passive,plausible,The courier was deceived by the translator.,The translator deceived the courier.,AAR,11.23094325
244,passive,plausible,The translator was deceived by the courier.,The translator deceived the courier.,AAR,11.23094325
245,passive,plausible,The governor was hated by the gangster.,The gangster hated the governor.,AAR,11.40133408
245,passive,plausible,The gangster was hated by the governor.,The gangster hated the governor.,AAR,11.40133408
246,passive,plausible,The chancellor was abhorred by the hoodlum.,The hoodlum abhorred the chancellor.,AAR,11.02216657
246,passive,plausible,The hoodlum was abhorred by the chancellor.,The hoodlum abhorred the chancellor.,AAR,11.02216657
247,passive,plausible,The customer was convinced by the planner.,The planner convinced the customer.,AAR,11.39021929
247,passive,plausible,The planner was convinced by the customer.,The planner convinced the customer.,AAR,11.39021929
248,passive,plausible,The buyer was persuaded by the organizer.,The organizer persuaded the buyer.,AAR,11.21694627
248,passive,plausible,The organizer was persuaded by the buyer.,The organizer persuaded the buyer.,AAR,11.21694627
249,passive,plausible,The gnome was protected by the wizard.,The wizard protected the gnome.,AAR,11.40705836
249,passive,plausible,The wizard was protected by the gnome.,The wizard protected the gnome.,AAR,11.40705836
250,passive,plausible,The dwarf was defended by the sorcerer.,The sorcerer defended the dwarf.,AAR,11.30839558
250,passive,plausible,The sorcerer was defended by the dwarf.,The sorcerer defended the dwarf.,AAR,11.30839558
251,passive,plausible,The co-worker was encountered by the runner.,The runner bumped into the co-worker.,AAR,10.18306367
251,passive,plausible,The runner was encountered by the co-worker.,The runner bumped into the co-worker.,AAR,10.18306367
252,passive,plausible,The colleague was met by the jogger.,The jogger ran into the colleague.,AAR,12.25355417
252,passive,plausible,The jogger was met by the colleague.,The jogger ran into the colleague.,AAR,12.25355417
253,passive,plausible,The professor was befuddled by the student.,The student befuddled the professor.,AAR,11.61427551
253,passive,plausible,The student was befuddled by the professor.,The student befuddled the professor.,AAR,11.61427551
254,passive,plausible,The lecturer was confused by the scholar.,The scholar confused the lecturer.,AAR,11.66103648
254,passive,plausible,The scholar was confused by the lecturer.,The scholar confused the lecturer.,AAR,11.66103648
255,passive,plausible,The sentry was spotted by the invader.,The invader spotted the sentry.,AAR,11.19808452
255,passive,plausible,The invader was spotted by the sentry.,The invader spotted the sentry.,AAR,11.19808452
256,passive,plausible,The watchman was sighted by the intruder.,The intruder sighted the watchman.,AAR,11.07473688
256,passive,plausible,The intruder was sighted by the watchman.,The intruder sighted the watchman.,AAR,11.07473688
257,passive,plausible,The merchant was reimbursed by the supplier.,The supplier reimbursed the merchant.,AAR,11.38621917
257,passive,plausible,The supplier was reimbursed by the merchant.,The supplier reimbursed the merchant.,AAR,11.38621917
258,passive,plausible,The trader was compensated by the wholesaler.,The wholesaler compensated the trader.,AAR,11.26768523
258,passive,plausible,The wholesaler was compensated by the trader.,The wholesaler compensated the trader.,AAR,11.26768523
259,passive,plausible,The vandal was confronted by the accuser.,The accuser confronted the vandal.,AAR,11.13922973
259,passive,plausible,The accuser was confronted by the vandal.,The accuser confronted the vandal.,AAR,11.13922973
260,passive,plausible,The thug was accosted by the plaintiff.,The plaintiff accosted the thug.,AAR,11.40192037
260,passive,plausible,The plaintiff was accosted by the thug.,The plaintiff accosted the thug.,AAR,11.40192037
261,passive,plausible,The idiot was bemused by the trickster.,The trickster bemused the idiot.,AAR,11.23302448
261,passive,plausible,The trickster was bemused by the idiot.,The trickster bemused the idiot.,AAR,11.23302448
262,passive,plausible,The fool was puzzled by the swindler.,The swindler puzzled the fool.,AAR,11.40796004
262,passive,plausible,The swindler was puzzled by the fool.,The swindler puzzled the fool.,AAR,11.40796004
263,passive,plausible,The leader was quoted by the protestor.,The protestor quoted the leader.,AAR,11.55709524
263,passive,plausible,The protestor was quoted by the leader.,The protestor quoted the leader.,AAR,11.55709524
264,passive,plausible,The chief was cited by the striker.,The striker cited the chief.,AAR,11.76402745
264,passive,plausible,The striker was cited by the chief.,The striker cited the chief.,AAR,11.76402745
265,passive,plausible,The taxi-driver was repulsed by the postal worker.,The postal worker repulsed the taxi-driver.,AAR,11.08536678
265,passive,plausible,The postal worker was repulsed by the taxi-driver.,The postal worker repulsed the taxi-driver.,AAR,11.08536678
266,passive,plausible,The cabbie was disgusted by the letter carrier.,The letter carrier disgusted the cabbie.,AAR,11.1687252
266,passive,plausible,The letter carrier was disgusted by the cabbie.,The letter carrier disgusted the cabbie.,AAR,11.1687252
267,passive,plausible,The rival was agitated by the competitor.,The competitor agitated his rival.,AAR,11.67575001
267,passive,plausible,The competitor was agitated by the rival.,The competitor agitated his rival.,AAR,11.67575001
268,passive,plausible,The opponent was flustered by the contender.,The contender flustered his opponent.,AAR,11.35043439
268,passive,plausible,The contender was flustered by the opponent.,The contender flustered his opponent.,AAR,11.35043439
269,passive,plausible,The authorities were alerted by the officer.,The officer alerted the authorities.,AAR,11.43971126
269,passive,plausible,The officer were alerted by the authorities.,The officer alerted the authorities.,AAR,11.43971126
270,passive,plausible,The higher-ups were notified by the deputy.,The deputy notified the higher-ups.,AAR,9.830434595
270,passive,plausible,The deputy were notified by the higher-ups.,The deputy notified the higher-ups.,AAR,9.830434595
271,passive,plausible,The hunter was betrayed by the culprit.,The culprit betrayed the hunter.,AAR,11.1718679
271,passive,plausible,The culprit was betrayed by the hunter.,The culprit betrayed the hunter.,AAR,11.1718679
272,passive,plausible,The poacher was exposed by the perpetrator.,The perpetrator ratted out the poacher.,AAR,11.19439649
272,passive,plausible,The perpetrator was exposed by the poacher.,The perpetrator ratted out the poacher.,AAR,11.19439649
273,passive,plausible,The partner was respected by the botanist.,The botanist respected the partner.,AAR,11.64447975
273,passive,plausible,The botanist was respected by the partner.,The botanist respected the partner.,AAR,11.64447975
274,passive,plausible,The collaborator was esteemed by the flora specialist.,The flora specialist esteemed the collaborator.,AAR,11.10260348
274,passive,plausible,The flora specialist was esteemed by the collaborator.,The flora specialist esteemed the collaborator.,AAR,11.10260348
275,passive,plausible,The zealot was placated by the pacifist.,The pacifist placated the zealot.,AAR,10.90566421
275,passive,plausible,The pacifist was placated by the zealot.,The pacifist placated the zealot.,AAR,10.90566421
276,passive,plausible,The fanatic was mollified by the peace-lover.,The peace-lover mollified the fanatic.,AAR,10.09453678
276,passive,plausible,The peace-lover was mollified by the fanatic.,The peace-lover mollified the fanatic.,AAR,10.09453678
277,passive,plausible,The protagonist was beaten by the scoundrel.,The scoundrel beat the protagonist.,AAR,11.31978156
277,passive,plausible,The scoundrel was beaten by the protagonist.,The scoundrel beat the protagonist.,AAR,11.31978156
278,passive,plausible,The main character was defeated by the rogue.,The rogue defeated the main character.,AAR,11.98072846
278,passive,plausible,The rogue was defeated by the main character.,The rogue defeated the main character.,AAR,11.98072846
279,passive,plausible,The offer was accepted by the sociologist.,The sociologist accepted the offer.,AI,11.89989272
279,passive,implausible,The sociologist was accepted by the offer.,The sociologist accepted the offer.,AI,11.89989272
280,passive,plausible,The turkey was basted by the boyfriend.,The boyfriend basted the turkey.,AI,11.00197515
280,passive,implausible,The boyfriend was basted by the turkey.,The boyfriend basted the turkey.,AI,11.00197515
281,passive,plausible,The question was posed by the caseworker.,The caseworker posed the question.,AI,11.41255858
281,passive,implausible,The caseworker was posed by the question.,The caseworker posed the question.,AI,11.41255858
282,passive,plausible,The wire was bent by the ditch digger.,The ditch digger bent the wire.,AI,11.49994558
282,passive,implausible,The ditch digger was bent by the wire.,The ditch digger bent the wire.,AI,11.49994558
283,passive,plausible,The tickets were sold by the box-office.,The box-office sold the tickets.,AI,10.34523678
283,passive,implausible,The box-office were sold by the tickets.,The box-office sold the tickets.,AI,10.34523678
284,passive,plausible,The ornament was hung by the uncle.,The uncle hung the ornament.,AI,12.17826213
284,passive,implausible,The uncle was hung by the ornament.,The uncle hung the ornament.,AI,12.17826213
285,passive,plausible,The button was pressed by the attendant.,The attendant pressed the button.,AI,11.47827639
285,passive,implausible,The attendant was pressed by the button.,The attendant pressed the button.,AI,11.47827639
286,passive,plausible,The necklace was stolen by the bum.,The bum stole the necklace.,AI,11.62274015
286,passive,implausible,The bum was stolen by the necklace.,The bum stole the necklace.,AI,11.62274015
287,passive,plausible,The clay was molded by the potter.,The potter molded the clay.,AI,11.5939665
287,passive,implausible,The potter was molded by the clay.,The potter molded the clay.,AI,11.5939665
288,passive,plausible,The form was initialed by the guarantor.,The guarantor initialed the form.,AI,11.61409634
288,passive,implausible,The guarantor was initialed by the form.,The guarantor initialed the form.,AI,11.61409634
289,passive,plausible,The umbrella was forgotten by the couch-potato.,The couch-potato forgot the umbrella.,AI,11.44702185
289,passive,implausible,The couch-potato was forgotten by the umbrella.,The couch-potato forgot the umbrella.,AI,11.44702185
290,passive,plausible,The concert was attended by the groupie.,The groupie attended the concert.,AI,11.35677442
290,passive,implausible,The groupie was attended by the concert.,The groupie attended the concert.,AI,11.35677442
291,passive,plausible,The password was memorized by the hacker.,The hacker memorized the password.,AI,10.90085177
291,passive,implausible,The hacker was memorized by the password.,The hacker memorized the password.,AI,10.90085177
292,passive,plausible,The bag was packed by the marine.,The marine packed the bag.,AI,11.76314186
292,passive,implausible,The marine was packed by the bag.,The marine packed the bag.,AI,11.76314186
293,passive,plausible,The rules were emphasized by the counselor.,The counselor emphasized the rules.,AI,11.41939909
293,passive,implausible,The counselor were emphasized by the rules.,The counselor emphasized the rules.,AI,11.41939909
294,passive,plausible,The shirt was ironed by the seamstress.,The seamstress ironed the shirt.,AI,11.17007337
294,passive,implausible,The seamstress was ironed by the shirt.,The seamstress ironed the shirt.,AI,11.17007337
295,passive,plausible,The sugar was sprinkled by the confectioner.,The confectioner sprinkled the sugar.,AI,11.37828061
295,passive,implausible,The confectioner was sprinkled by the sugar.,The confectioner sprinkled the sugar.,AI,11.37828061
296,passive,plausible,The envelope was sealed by the voter.,The voter sealed the envelope.,AI,11.44591036
296,passive,implausible,The voter was sealed by the envelope.,The voter sealed the envelope.,AI,11.44591036
297,passive,plausible,The trashcan was emptied by the fisherman.,The fisherman emptied the trashcan.,AI,10.74084495
297,passive,implausible,The fisherman was emptied by the trashcan.,The fisherman emptied the trashcan.,AI,10.74084495
298,passive,plausible,The prize was received by the cellist.,The cellist received the prize.,AI,11.61299413
298,passive,implausible,The cellist was received by the prize.,The cellist received the prize.,AI,11.61299413
299,passive,plausible,The service was rated by the cheapskate.,The cheapskate rated the service.,AI,11.40359352
299,passive,implausible,The cheapskate was rated by the service.,The cheapskate rated the service.,AI,11.40359352
300,passive,plausible,The key was borrowed by the schoolgirl.,The schoolgirl borrowed the key.,AI,11.47225215
