,sentence,typicality,rating
711,The sweeper cleaned the street.,T,6.5
712,The swimmer wore the cloak.,AT,3.1
713,The swimmer wore the goggles.,T,6.2
714,The tailor sewed the wound.,AT,1.6
715,The tailor sewed the dress.,T,6.55
716,The teacher explained the tactic.,AT,4.55
717,The teacher explained the exercise.,T,6.9
718,The teacher gave the drug.,AT,1.4
719,The teacher gave the homework.,T,6.85
720,The teacher helped the patient.,AT,1.95
721,The teacher helped the child.,T,6.1
722,The teacher lent the gun.,AT,1.85
723,The teacher lent the book.,T,6.15
724,The teacher used the knife.,AT,2.85
725,The teacher used the blackboard.,T,5.95
726,The teenager heard the lecture.,AT,4.65
727,The teenager heard the music.,T,6.4
728,The terrorist released the book.,AT,1.8
729,The terrorist released the hostage.,T,3.45
730,The thief grabbed the banana.,AT,3.7
731,The thief grabbed the money.,T,5.0
732,The tourist read the bible.,AT,3.0
733,The tourist read the map.,T,6.4
734,The tourist rode the skates.,AT,3.7
735,The tourist rode the camel.,T,4.55
736,The tourist visited the patient.,AT,3.0
737,The tourist visited the museum.,T,5.95
738,The traveller checked the groceries.,AT,4.2
739,The traveller checked the bag.,T,6.0
740,The traveller checked the team.,AT,3.0
741,The traveller checked the watch.,T,4.4
742,The traveller handed the screwdriver.,AT,2.1
743,The traveller handed the bag.,T,5.8
744,The truck hit the bag.,AT,3.1
745,The truck hit the car.,T,4.0
746,The truck plowed the garden.,AT,2.3
747,The truck plowed the snow.,T,4.65
748,The undertaker dug the trench.,AT,3.2
749,The undertaker dug the grave.,T,4.15
750,The usurer lent the toy.,AT,1.9
751,The usurer lent the money.,T,5.2
752,The vandal sprayed the perfume.,AT,1.85
753,The vandal sprayed the paint.,T,6.2
754,The veterinarian examined the plant.,AT,2.2
755,The veterinarian examined the dog.,T,6.85
756,The violinist played the trumpet.,AT,3.0
757,The violinist played the violin.,T,6.9
758,The violinist wore the helmet.,AT,3.05
759,The violinist wore the tuxedo.,T,5.9
760,The volunteer brought the hatchet.,AT,1.75
761,The volunteer brought the food.,T,6.1
762,The waiter brought the guitar.,AT,1.55
763,The waiter brought the glass.,T,6.8
764,The waiter carried the rifle.,AT,1.55
765,The waiter carried the tray.,T,6.35
766,The waiter cleared the road.,AT,2.9
767,The waiter cleared the bar.,T,6.05
768,The waiter cleared the tube.,AT,2.6
769,The waiter cleared the table.,T,6.25
770,The waiter cut the hair.,AT,1.45
771,The waiter cut the cake.,T,4.85
772,The waiter delivered the speech.,AT,1.6
773,The waiter delivered the drink.,T,6.35
774,The waiter fetched the ball.,AT,1.85
775,The waiter fetched the water.,T,6.2
776,The waiter held the flag.,AT,3.5
777,The waiter held the bottle.,T,6.15
778,The waiter mixed the cement.,AT,1.5
779,The waiter mixed the drink.,T,5.4
780,The waiter opened the sarcophagus.,AT,1.35
781,The waiter opened the bottle.,T,6.25
782,The waiter poured the gasoline.,AT,1.4
783,The waiter poured the wine.,T,6.6
784,The waiter prepared the bomb.,AT,1.1
785,The waiter prepared the drink.,T,6.4
786,The witness explained the equation.,AT,1.8
787,The witness explained the circumstances.,T,5.6
788,The witness reported the birth.,AT,2.4
789,The witness reported the crime.,T,6.4
790,The woman carried the stone.,AT,3.1
791,The woman carried the bag.,T,6.25
792,The woman opened the manhole.,AT,2.4
793,The woman opened the bag.,T,6.45
794,The woman painted the sign.,AT,3.55
795,The woman painted the toenail.,T,6.1
